day,demand_act,demand_pred,hour,hourofday,price_act,price_pred,solar_act,solar_pred
1,153.04,157.48,1,1,1.98,1.71,0.0,0.0
1,151.4,132.99,2,2,1.6,1.56,0.0,0.0
1,154.94,160.67,3,3,1.4,1.31,0.0,0.0
1,152.5,154.47,4,4,1.37,1.5,0.0,0.0
1,148.54,126.27,5,5,1.36,1.33,0.0,0.0
1,148.57,158.16,6,6,2.8,2.92,0.0,0.0
1,147.35,163.71,7,7,4.83,4.44,0.0,0.0
1,146.83,146.71,8,8,4.93,4.33,6.43,6.03
1,146.5,134.78,9,9,4.85,4.35,17.2,14.88
1,188.77,197.56,10,10,5.08,4.46,21.64,19.01
1,159.7,182.8,11,11,3.95,3.88,22.52,20.75
1,154.56,136.62,12,12,3.43,3.77,21.87,23.34
1,156.95,145.43,13,13,2.78,2.4,22.77,26.01
1,129.74,143.96,14,14,2.1,2.12,22.89,20.52
1,77.66,88.78,15,15,2.08,2.29,22.03,23.79
1,114.55,114.32,16,16,2.27,2.26,17.93,17.13
1,83.41,87.15,17,17,2.67,2.78,8.96,9.34
1,97.92,98.59,18,18,2.88,2.87,0.13,0.11
1,87.71,76.53,19,19,3.19,3.21,0.0,0.0
1,43.94,42.27,20,20,2.66,2.7,0.0,0.0
1,24.74,24.76,21,21,2.71,2.43,0.0,0.0
1,26.04,24.34,22,22,2.24,2.2,0.0,0.0
1,26.62,28.17,23,23,1.94,2.16,0.0,0.0
1,27.0,30.95,24,24,1.81,1.61,0.0,0.0
2,26.79,22.99,25,1,1.57,1.39,0.0,0.0
2,26.2,26.54,26,2,1.41,1.57,0.0,0.0
2,25.89,22.3,27,3,1.41,1.61,0.0,0.0
2,27.85,26.77,28,4,1.37,1.52,0.0,0.0
2,62.4,63.3,29,5,1.39,1.29,0.0,0.0
2,42.64,48.96,30,6,1.37,1.47,0.0,0.0
2,26.82,23.12,31,7,2.56,2.18,0.0,0.0
2,24.75,27.45,32,8,4.46,5.06,5.91,6.73
2,27.26,28.36,33,9,4.65,4.42,15.91,13.99
2,25.06,27.21,34,10,4.54,5.2,20.83,22.21
2,26.75,23.31,35,11,4.18,4.03,23.34,25.34
2,25.97,29.27,36,12,3.45,3.05,24.28,23.6
2,25.56,28.77,37,13,2.71,2.41,24.44,26.92
2,27.54,24.04,38,14,2.61,2.97,23.78,25.63
2,26.31,30.11,39,15,2.56,2.4,21.93,22.49
2,86.29,98.29,40,16,2.92,2.61,17.84,15.38
2,87.54,84.79,41,17,3.11,3.16,9.72,8.95
2,128.17,140.85,42,18,3.18,3.43,0.13,0.14
2,118.32,132.53,43,19,3.41,3.47,0.0,0.0
2,91.1,103.19,44,20,3.5,3.85,0.0,0.0
2,154.41,168.68,45,21,3.37,3.04,0.0,0.0
2,79.29,90.94,46,22,2.41,2.75,0.0,0.0
2,31.69,32.83,47,23,2.24,2.01,0.0,0.0
