day,demand_pred,hour,hourofday,price_pred,solar_pred
1,31.2,1,1,2.1,0.0
1,29.86,2,2,1.79,0.0
1,25.67,3,3,1.81,0.0
1,68.61,4,4,1.63,0.0
1,19.16,5,5,1.88,0.0
1,21.07,6,6,1.9,0.0
1,48.18,7,7,2.93,0.32
1,139.35,8,8,2.93,7.6
1,84.42,9,9,3.72,13.22
1,28.49,10,10,3.38,18.62
1,22.97,11,11,3.25,19.32
1,90.87,12,12,3.34,18.23
1,146.35,13,13,2.99,22.58
1,94.08,14,14,2.54,17.49
1,94.55,15,15,3.22,10.07
1,62.31,16,16,2.34,8.27
1,94.77,17,17,3.12,5.73
1,19.79,18,18,2.58,0.3
1,36.53,19,19,2.61,0.0
1,75.75,20,20,2.53,0.0
1,51.78,21,21,3.05,0.0
1,146.8,22,22,3.01,0.0
1,34.7,23,23,2.26,0.0
1,54.82,24,24,2.15,0.0
2,20.37,25,1,1.91,0.0
2,56.05,26,2,1.34,0.0
2,18.41,27,3,1.21,0.0
2,55.33,28,4,1.28,0.0
2,23.08,29,5,1.17,0.0
2,28.4,30,6,2.38,0.0
2,47.67,31,7,4.2,1.14
2,133.29,32,8,4.23,12.34
2,96.23,33,9,4.9,19.77
2,30.65,34,10,4.93,20.91
2,24.7,35,11,4.37,20.71
2,43.96,36,12,3.11,21.97
2,33.09,37,13,2.62,22.49
2,51.49,38,14,1.87,17.07
2,110.69,39,15,2.0,10.67
2,145.3,40,16,2.51,7.22
2,125.17,41,17,2.77,5.96
2,86.76,42,18,3.07,0.25
2,44.9,43,19,3.19,0.0
2,78.34,44,20,2.82,0.0
2,231.94,45,21,2.3,0.0
2,193.01,46,22,2.39,0.0
2,96.0,47,23,1.84,0.0
2,86.1,48,24,1.69,0.0
3,20.59,49,1,1.44,0.0
3,19.98,50,2,1.31,0.0
3,23.64,51,3,1.42,0.0
3,22.73,52,4,1.52,0.0
3,20.8,53,5,1.28,0.0
3,25.47,54,6,1.51,0.0
3,18.53,55,7,2.81,0.44
3,36.34,56,8,4.68,9.78
3,67.44,57,9,4.41,19.1
3,147.2,58,10,4.13,22.9
3,129.34,59,11,3.59,19.27
3,203.73,60,12,3.01,20.62
3,47.99,61,13,2.88,24.72
3,26.01,62,14,2.22,20.62
3,122.76,63,15,2.78,20.08
3,75.8,64,16,2.94,18.88
3,63.75,65,17,3.3,12.67
3,30.87,66,18,2.73,0.69
3,46.23,67,19,2.8,0.0
3,134.43,68,20,2.97,0.0
3,196.3,69,21,3.36,0.0
3,156.5,70,22,2.34,0.0
3,98.47,71,23,1.88,0.0
3,76.29,72,24,1.2,0.0
4,56.7,73,1,1.38,0.0
4,46.15,74,2,1.28,0.0
4,58.86,75,3,1.46,0.0
4,58.39,76,4,0.97,0.0
4,55.04,77,5,1.09,0.0
4,52.32,78,6,3.38,0.0
4,63.12,79,7,5.21,0.16
4,148.58,80,8,4.54,4.64
4,110.2,81,9,6.12,9.5
4,138.84,82,10,6.58,8.81
4,69.69,83,11,6.13,10.77
4,48.76,84,12,4.74,16.48
4,129.55,85,13,3.64,15.33
4,36.45,86,14,3.76,20.53
4,29.3,87,15,4.37,19.59
4,23.44,88,16,1.79,14.83
4,25.7,89,17,2.2,5.12
4,21.11,90,18,2.47,0.13
4,114.28,91,19,3.33,0.0
4,118.53,92,20,2.43,0.0
4,160.78,93,21,2.92,0.0
4,88.7,94,22,2.5,0.0
4,34.7,95,23,1.87,0.0
4,29.64,96,24,1.03,0.0
5,46.58,97,1,1.86,0.0
5,30.67,98,2,1.66,0.0
5,23.46,99,3,2.21,0.0
5,17.27,100,4,2.02,0.0
5,24.57,101,5,2.82,0.0
5,25.68,102,6,2.38,0.0
5,44.48,103,7,5.19,0.23
5,116.42,104,8,5.54,6.25
5,94.56,105,9,5.77,11.48
5,96.11,106,10,6.11,18.61
5,121.18,107,11,4.22,17.64
5,116.75,108,12,4.18,17.61
5,112.5,109,13,3.64,20.86
5,99.64,110,14,3.35,16.92
5,142.44,111,15,3.65,10.69
5,121.67,112,16,3.38,6.93
5,52.16,113,17,3.28,2.03
5,31.88,114,18,4.4,0.04
5,50.27,115,19,3.81,0.0
5,86.08,116,20,2.97,0.0
5,169.44,117,21,3.62,0.0
5,123.5,118,22,2.94,0.0
5,90.83,119,23,2.66,0.0
5,67.48,120,24,1.46,0.0
6,46.71,121,1,2.41,0.0
6,40.93,122,2,2.19,0.0
6,61.48,123,3,2.49,0.0
6,27.29,124,4,2.3,0.0
6,22.21,125,5,2.08,0.0
6,22.05,126,6,2.21,0.0
6,49.59,127,7,5.02,0.21
6,166.77,128,8,4.93,4.08
6,100.7,129,9,5.07,8.86
6,77.99,130,10,6.18,10.43
6,68.0,131,11,4.58,12.7
6,31.88,132,12,4.12,15.07
6,45.83,133,13,3.96,14.64
6,26.42,134,14,3.29,15.24
6,48.51,135,15,4.01,13.95
6,18.08,136,16,3.64,11.69
6,53.46,137,17,3.57,4.96
6,37.2,138,18,3.06,0.11
6,55.6,139,19,2.88,0.0
6,35.33,140,20,3.5,0.0
6,22.43,141,21,3.04,0.0
6,36.46,142,22,3.2,0.0
6,106.12,143,23,2.55,0.0
6,67.32,144,24,1.31,0.0
7,66.57,145,1,2.57,0.0
7,24.66,146,2,2.43,0.0
7,24.69,147,3,2.07,0.0
7,19.24,148,4,2.02,0.0
7,19.8,149,5,2.06,0.0
7,24.49,150,6,2.4,0.0
7,73.19,151,7,4.1,0.65
7,134.77,152,8,4.68,11.7
7,107.82,153,9,5.04,10.67
7,85.83,154,10,5.42,15.63
7,20.62,155,11,4.74,15.84
7,124.04,156,12,3.51,18.43
7,186.45,157,13,3.55,15.16
7,99.59,158,14,3.38,12.67
7,80.47,159,15,3.8,10.18
7,92.91,160,16,4.03,8.2
7,43.88,161,17,3.82,3.81
7,19.72,162,18,3.5,0.1
7,76.56,163,19,4.24,0.0
7,81.94,164,20,3.76,0.0
7,148.92,165,21,3.1,0.0
7,147.63,166,22,2.08,0.0
7,58.55,167,23,2.73,0.0
7,41.15,168,24,1.73,0.0
8,41.15,169,1,1.7,0.0
8,22.28,170,2,2.03,0.0
8,20.02,171,3,1.71,0.0
8,24.91,172,4,1.76,0.0
8,24.45,173,5,1.34,0.0
8,62.27,174,6,2.63,0.0
8,71.3,175,7,4.35,0.42
8,129.1,176,8,6.48,8.49
8,80.83,177,9,6.61,9.98
8,97.61,178,10,7.36,13.34
8,74.4,179,11,5.86,18.35
8,48.42,180,12,4.83,18.18
8,92.06,181,13,4.46,23.39
8,54.09,182,14,4.42,22.32
8,30.7,183,15,4.26,19.57
8,27.58,184,16,4.51,19.44
8,27.7,185,17,3.94,11.25
8,55.03,186,18,4.64,0.23
8,64.04,187,19,4.22,0.0
8,105.74,188,20,4.12,0.0
8,133.4,189,21,3.11,0.0
8,143.24,190,22,3.36,0.0
8,43.82,191,23,1.94,0.0
8,36.2,192,24,2.02,0.0
9,34.13,193,1,2.33,0.0
9,24.26,194,2,2.45,0.0
9,28.14,195,3,1.98,0.0
9,25.0,196,4,2.17,0.0
9,21.18,197,5,2.55,0.0
9,29.12,198,6,2.56,0.0
9,61.57,199,7,4.84,0.46
9,142.1,200,8,4.95,11.82
9,87.19,201,9,5.67,14.55
9,76.56,202,10,7.82,17.88
9,22.55,203,11,4.87,16.47
9,39.82,204,12,3.85,20.17
9,24.24,205,13,4.15,20.67
9,91.94,206,14,4.12,21.57
9,57.25,207,15,3.69,20.2
9,117.06,208,16,3.59,15.5
9,106.67,209,17,3.3,8.67
9,69.52,210,18,4.03,0.16
9,91.19,211,19,3.93,0.0
9,117.04,212,20,3.66,0.0
9,97.76,213,21,3.52,0.0
9,100.95,214,22,2.7,0.0
9,76.42,215,23,2.64,0.0
9,36.96,216,24,2.11,0.0
10,56.06,217,1,2.25,0.0
10,28.71,218,2,2.15,0.0
10,31.23,219,3,2.03,0.0
10,26.95,220,4,2.24,0.0
10,38.74,221,5,2.15,0.0
10,26.79,222,6,2.27,0.0
10,23.5,223,7,4.64,0.55
10,41.91,224,8,5.11,12.15
10,60.96,225,9,5.75,15.8
10,48.01,226,10,4.29,18.3
10,52.13,227,11,4.15,20.36
10,153.6,228,12,3.44,21.17
10,119.38,229,13,3.92,17.86
10,102.04,230,14,3.88,19.19
10,62.11,231,15,3.99,18.25
10,28.67,232,16,3.93,20.62
10,55.68,233,17,3.53,13.18
10,106.47,234,18,4.42,0.23
10,100.93,235,19,4.0,0.0
10,181.36,236,20,3.82,0.0
10,198.61,237,21,4.16,0.0
10,233.76,238,22,2.84,0.0
10,111.98,239,23,2.52,0.0
10,65.99,240,24,1.59,0.0
11,29.17,241,1,2.05,0.0
11,23.23,242,2,1.76,0.0
11,33.56,243,3,1.83,0.0
11,27.49,244,4,1.54,0.0
11,33.33,245,5,1.68,0.0
11,48.31,246,6,1.81,0.0
11,52.56,247,7,3.54,0.54
11,142.21,248,8,3.83,10.29
11,107.71,249,9,3.67,14.88
11,93.74,250,10,4.2,18.8
11,71.63,251,11,3.59,16.07
11,26.12,252,12,3.82,14.47
11,42.29,253,13,3.55,18.51
11,28.58,254,14,3.65,17.21
11,62.82,255,15,3.31,14.8
11,37.36,256,16,3.04,13.62
11,26.79,257,17,3.4,7.98
