day,demand_d+1,demand_d+2,demand_d-1,demand_d-2,demand_t+1,demand_t+2,demand_t-1,demand_t-2,demand_td0,hour_of_day
1,20.37,20.59,31.2,31.2,29.86,25.67,31.2,31.2,31.2,1
1,56.05,19.98,29.86,29.86,25.67,68.61,31.2,31.2,29.86,2
1,18.41,23.64,25.67,25.67,68.61,19.16,29.86,31.2,25.67,3
1,55.33,22.73,68.61,68.61,19.16,21.07,25.67,29.86,68.61,4
1,23.08,20.8,19.16,19.16,21.07,48.18,68.61,25.67,19.16,5
1,28.4,25.47,21.07,21.07,48.18,139.35,19.16,68.61,21.07,6
1,47.67,18.53,48.18,48.18,139.35,84.42,21.07,19.16,48.18,7
1,133.29,36.34,139.35,139.35,84.42,28.49,48.18,21.07,139.35,8
1,96.23,67.44,84.42,84.42,28.49,22.97,139.35,48.18,84.42,9
1,30.65,147.2,28.49,28.49,22.97,90.87,84.42,139.35,28.49,10
1,24.7,129.34,22.97,22.97,90.87,146.35,28.49,84.42,22.97,11
1,43.96,203.73,90.87,90.87,146.35,94.08,22.97,28.49,90.87,12
1,33.09,47.99,146.35,146.35,94.08,94.55,90.87,22.97,146.35,13
1,51.49,26.01,94.08,94.08,94.55,62.31,146.35,90.87,94.08,14
1,110.69,122.76,94.55,94.55,62.31,94.77,94.08,146.35,94.55,15
1,145.3,75.8,62.31,62.31,94.77,19.79,94.55,94.08,62.31,16
1,125.17,63.75,94.77,94.77,19.79,36.53,62.31,94.55,94.77,17
1,86.76,30.87,19.79,19.79,36.53,75.75,94.77,62.31,19.79,18
1,44.9,46.23,36.53,36.53,75.75,51.78,19.79,94.77,36.53,19
1,78.34,134.43,75.75,75.75,51.78,146.8,36.53,19.79,75.75,20
1,231.94,196.3,51.78,51.78,146.8,34.7,75.75,36.53,51.78,21
1,193.01,156.5,146.8,146.8,34.7,54.82,51.78,75.75,146.8,22
1,96.0,98.47,34.7,34.7,54.82,20.37,146.8,51.78,34.7,23
1,86.1,76.29,54.82,54.82,20.37,56.05,34.7,146.8,54.82,24
2,20.59,56.7,31.2,31.2,56.05,18.41,54.82,34.7,20.37,1
2,19.98,46.15,29.86,29.86,18.41,55.33,20.37,54.82,56.05,2
2,23.64,58.86,25.67,25.67,55.33,23.08,56.05,20.37,18.41,3
2,22.73,58.39,68.61,68.61,23.08,28.4,18.41,56.05,55.33,4
2,20.8,55.04,19.16,19.16,28.4,47.67,55.33,18.41,23.08,5
2,25.47,52.32,21.07,21.07,47.67,133.29,23.08,55.33,28.4,6
2,18.53,63.12,48.18,48.18,133.29,96.23,28.4,23.08,47.67,7
2,36.34,148.58,139.35,139.35,96.23,30.65,47.67,28.4,133.29,8
2,67.44,110.2,84.42,84.42,30.65,24.7,133.29,47.67,96.23,9
2,147.2,138.84,28.49,28.49,24.7,43.96,96.23,133.29,30.65,10
2,129.34,69.69,22.97,22.97,43.96,33.09,30.65,96.23,24.7,11
2,203.73,48.76,90.87,90.87,33.09,51.49,24.7,30.65,43.96,12
2,47.99,129.55,146.35,146.35,51.49,110.69,43.96,24.7,33.09,13
2,26.01,36.45,94.08,94.08,110.69,145.3,33.09,43.96,51.49,14
2,122.76,29.3,94.55,94.55,145.3,125.17,51.49,33.09,110.69,15
2,75.8,23.44,62.31,62.31,125.17,86.76,110.69,51.49,145.3,16
2,63.75,25.7,94.77,94.77,86.76,44.9,145.3,110.69,125.17,17
2,30.87,21.11,19.79,19.79,44.9,78.34,125.17,145.3,86.76,18
2,46.23,114.28,36.53,36.53,78.34,231.94,86.76,125.17,44.9,19
2,134.43,118.53,75.75,75.75,231.94,193.01,44.9,86.76,78.34,20
2,196.3,160.78,51.78,51.78,193.01,96.0,78.34,44.9,231.94,21
2,156.5,88.7,146.8,146.8,96.0,86.1,231.94,78.34,193.01,22
2,98.47,34.7,34.7,34.7,86.1,20.59,193.01,231.94,96.0,23
2,76.29,29.64,54.82,54.82,20.59,19.98,96.0,193.01,86.1,24
3,56.7,46.58,20.37,31.2,19.98,23.64,86.1,96.0,20.59,1
3,46.15,30.67,56.05,29.86,23.64,22.73,20.59,86.1,19.98,2
3,58.86,23.46,18.41,25.67,22.73,20.8,19.98,20.59,23.64,3
3,58.39,17.27,55.33,68.61,20.8,25.47,23.64,19.98,22.73,4
3,55.04,24.57,23.08,19.16,25.47,18.53,22.73,23.64,20.8,5
3,52.32,25.68,28.4,21.07,18.53,36.34,20.8,22.73,25.47,6
3,63.12,44.48,47.67,48.18,36.34,67.44,25.47,20.8,18.53,7
3,148.58,116.42,133.29,139.35,67.44,147.2,18.53,25.47,36.34,8
3,110.2,94.56,96.23,84.42,147.2,129.34,36.34,18.53,67.44,9
3,138.84,96.11,30.65,28.49,129.34,203.73,67.44,36.34,147.2,10
3,69.69,121.18,24.7,22.97,203.73,47.99,147.2,67.44,129.34,11
3,48.76,116.75,43.96,90.87,47.99,26.01,129.34,147.2,203.73,12
3,129.55,112.5,33.09,146.35,26.01,122.76,203.73,129.34,47.99,13
3,36.45,99.64,51.49,94.08,122.76,75.8,47.99,203.73,26.01,14
3,29.3,142.44,110.69,94.55,75.8,63.75,26.01,47.99,122.76,15
3,23.44,121.67,145.3,62.31,63.75,30.87,122.76,26.01,75.8,16
3,25.7,52.16,125.17,94.77,30.87,46.23,75.8,122.76,63.75,17
3,21.11,31.88,86.76,19.79,46.23,134.43,63.75,75.8,30.87,18
3,114.28,50.27,44.9,36.53,134.43,196.3,30.87,63.75,46.23,19
3,118.53,86.08,78.34,75.75,196.3,156.5,46.23,30.87,134.43,20
3,160.78,169.44,231.94,51.78,156.5,98.47,134.43,46.23,196.3,21
3,88.7,123.5,193.01,146.8,98.47,76.29,196.3,134.43,156.5,22
3,34.7,90.83,96.0,34.7,76.29,56.7,156.5,196.3,98.47,23
3,29.64,67.48,86.1,54.82,56.7,46.15,98.47,156.5,76.29,24
4,46.58,46.71,20.59,20.37,46.15,58.86,76.29,98.47,56.7,1
4,30.67,40.93,19.98,56.05,58.86,58.39,56.7,76.29,46.15,2
4,23.46,61.48,23.64,18.41,58.39,55.04,46.15,56.7,58.86,3
4,17.27,27.29,22.73,55.33,55.04,52.32,58.86,46.15,58.39,4
4,24.57,22.21,20.8,23.08,52.32,63.12,58.39,58.86,55.04,5
4,25.68,22.05,25.47,28.4,63.12,148.58,55.04,58.39,52.32,6
4,44.48,49.59,18.53,47.67,148.58,110.2,52.32,55.04,63.12,7
4,116.42,166.77,36.34,133.29,110.2,138.84,63.12,52.32,148.58,8
4,94.56,100.7,67.44,96.23,138.84,69.69,148.58,63.12,110.2,9
4,96.11,77.99,147.2,30.65,69.69,48.76,110.2,148.58,138.84,10
4,121.18,68.0,129.34,24.7,48.76,129.55,138.84,110.2,69.69,11
4,116.75,31.88,203.73,43.96,129.55,36.45,69.69,138.84,48.76,12
4,112.5,45.83,47.99,33.09,36.45,29.3,48.76,69.69,129.55,13
4,99.64,26.42,26.01,51.49,29.3,23.44,129.55,48.76,36.45,14
4,142.44,48.51,122.76,110.69,23.44,25.7,36.45,129.55,29.3,15
4,121.67,18.08,75.8,145.3,25.7,21.11,29.3,36.45,23.44,16
4,52.16,53.46,63.75,125.17,21.11,114.28,23.44,29.3,25.7,17
4,31.88,37.2,30.87,86.76,114.28,118.53,25.7,23.44,21.11,18
4,50.27,55.6,46.23,44.9,118.53,160.78,21.11,25.7,114.28,19
4,86.08,35.33,134.43,78.34,160.78,88.7,114.28,21.11,118.53,20
4,169.44,22.43,196.3,231.94,88.7,34.7,118.53,114.28,160.78,21
4,123.5,36.46,156.5,193.01,34.7,29.64,160.78,118.53,88.7,22
4,90.83,106.12,98.47,96.0,29.64,46.58,88.7,160.78,34.7,23
4,67.48,67.32,76.29,86.1,46.58,30.67,34.7,88.7,29.64,24
5,46.71,66.57,56.7,20.59,30.67,23.46,29.64,34.7,46.58,1
5,40.93,24.66,46.15,19.98,23.46,17.27,46.58,29.64,30.67,2
5,61.48,24.69,58.86,23.64,17.27,24.57,30.67,46.58,23.46,3
5,27.29,19.24,58.39,22.73,24.57,25.68,23.46,30.67,17.27,4
5,22.21,19.8,55.04,20.8,25.68,44.48,17.27,23.46,24.57,5
5,22.05,24.49,52.32,25.47,44.48,116.42,24.57,17.27,25.68,6
5,49.59,73.19,63.12,18.53,116.42,94.56,25.68,24.57,44.48,7
5,166.77,134.77,148.58,36.34,94.56,96.11,44.48,25.68,116.42,8
5,100.7,107.82,110.2,67.44,96.11,121.18,116.42,44.48,94.56,9
5,77.99,85.83,138.84,147.2,121.18,116.75,94.56,116.42,96.11,10
5,68.0,20.62,69.69,129.34,116.75,112.5,96.11,94.56,121.18,11
5,31.88,124.04,48.76,203.73,112.5,99.64,121.18,96.11,116.75,12
5,45.83,186.45,129.55,47.99,99.64,142.44,116.75,121.18,112.5,13
5,26.42,99.59,36.45,26.01,142.44,121.67,112.5,116.75,99.64,14
5,48.51,80.47,29.3,122.76,121.67,52.16,99.64,112.5,142.44,15
5,18.08,92.91,23.44,75.8,52.16,31.88,142.44,99.64,121.67,16
5,53.46,43.88,25.7,63.75,31.88,50.27,121.67,142.44,52.16,17
5,37.2,19.72,21.11,30.87,50.27,86.08,52.16,121.67,31.88,18
5,55.6,76.56,114.28,46.23,86.08,169.44,31.88,52.16,50.27,19
