hour1,hour2,hour3,hour4,hour5,hour6,hour7,hour8,hour9,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23,hour24
30.2261734009,29.1841201782,26.232421875,67.8919677734,20.0159244537,21.1167163849,50.5075263977,137.485961914,86.1943893433,28.7612628937,23.7856998444,91.1084671021,144.440673828,94.4269485474,92.1148452759,65.1826934814,91.0405807495,20.5706787109,36.5631523132,79.1904678345,55.2923164368,144.541366577,36.7097969055,54.3545722961
21.0474567413,55.7519187927,19.8340644836,54.4729194641,23.1931209564,28.4050598145,48.8594474792,130.155548096,93.9920120239,30.8526420593,24.7751331329,44.7433052063,33.3893089294,53.2696800232,112.521682739,147.10333252,124.214851379,86.2698516846,46.4764060974,82.1927871704,223.561050415,190.112121582,96.3945236206,85.3074111938
20.6671543121,20.113111496,23.1098518372,22.9449977875,20.6726150513,24.9800376892,19.3716392517,36.4321365356,67.8743667603,146.575836182,133.020996094,192.893600464,50.4146080017,27.6341552734,120.842018127,81.1211853027,64.2079620361,30.773935318,48.3523750305,133.987548828,192.98109436,152.351669312,98.4100799561,81.4515838623
58.0108337402,47.6680831909,59.286693573,58.6246261597,54.8725166321,52.9909553528,64.4800033569,148.153259277,114.638237,137.248001099,72.3281860352,51.4494819641,126.317131042,37.6859169006,29.3362293243,23.2553787231,26.0171432495,22.0770492554,113.718406677,119.672996521,160.125640869,88.7178497314,35.4035835266,29.8329124451
47.2031173706,30.3260536194,23.0017662048,18.5895195007,24.2247467041,26.0489807129,45.493183136,114.409515381,93.2411499023,96.3380966187,120.758056641,117.85131073,112.708572388,100.721374512,142.562408447,120.835464478,53.7942314148,32.7579650879,50.9430427551,86.806137085,168.196166992,123.447715759,90.1993789673,67.965423584
47.3928527832,41.4498023987,61.1468887329,27.34034729,22.1197566986,22.1160984039,50.9135627747,165.050765991,99.5092163086,81.200958252,68.9565734863,32.7286148071,45.5890083313,26.5545787811,49.7169418335,19.5282478333,53.1337852478,37.8439826965,54.9992637634,36.0827941895,22.8667449951,37.3494262695,106.135620117,68.5947647095
66.3187637329,24.6139431,24.365819931,19.8592758179,20.0916824341,24.4531593323,76.6020431519,131.900619507,107.735946655,85.2066650391,22.79961586,125.487586975,180.124435425,98.6825332642,84.5133666992,88.6798248291,45.0768547058,20.6634712219,79.8979034424,86.4783172607,150.556289673,146.067489624,60.5666236877,42.3938827515
42.0776329041,22.128162384,20.1489276886,24.9124355316,24.6049633026,62.5872955322,74.2741012573,126.780136108,85.5586929321,93.327041626,78.742515564,52.0970649719,88.8054733276,54.1183242798,30.4846229553,27.4026050568,28.4302120209,54.7702941895,65.1381607056,106.074813843,134.695068359,142.242004395,45.8261413574,36.7593574524
34.7766990662,24.5494766235,28.3004016876,25.0295333862,21.1208515167,29.056344986,62.469909668,140.267196655,87.0907211304,79.9934463501,22.8717956543,40.2608909607,25.382106781,88.2811737061,59.8026123047,117.103401184,106.199577332,73.0888671875,91.2516326904,116.717292786,96.6324005127,99.1213378906,80.4638366699,38.6464309692
56.1732826233,28.4570503235,30.2261734009,26.4780139923,38.6494827271,26.5778942108,23.1427822113,42.2307891846,61.6516914368,49.1811637878,54.0365791321,150.984695435,120.170700073,101.12322998,63.4674301147,28.959280014,55.9753723145,107.029067993,101.684020996,177.1197052,199.039276123,224.119491577,113.038200378,66.5579452515
29.2385578156,23.0932407379,33.931438446,27.2758808136,33.8565940857,49.9297447205,53.6725654602,141.375793457,108.24937439,92.1584777832,73.570854187,26.4493350983,42.0960083008,28.9378509521,62.3946380615,37.6125679016,27.0586948395,50.2605552673,43.3215103149,155.66293335,121.873718262,181.810379028,104.804634094,31.704076767
21.6998748779,25.8769187927,28.2468109131,18.6462879181,21.8304405212,28.3535118103,74.9300537109,128.812988281,108.449111938,99.4079818726,121.203453064,55.5653152466,93.2726974487,50.9664535522,26.7614612579,38.5744590759,23.5554447174,25.308259964,124.633872986,130.378417969,118.524749756,81.9242782593,85.1941757202,48.7803726196
21.2989292145,29.9261264801,20.6039161682,22.5190391541,64.7293777466,30.669713974,58.1796302795,167.922058105,147.848464966,100.132621765,111.421485901,88.9678878784,92.2626876831,91.6890869141,112.754142761,121.811470032,95.1429443359,101.40524292,54.9604911804,113.713394165,135.605621338,118.51424408,117.248077393,23.9175739288
20.2649154663,29.9261264801,20.0075187683,21.9111843109,22.9419136047,28.4050598145,74.024559021,180.027633667,111.728805542,185.226669312,118.299865723,68.7022781372,56.9787940979,64.7136611938,95.9347381592,61.2214851379,51.2748298645,23.1070041656,113.258460999,236.889480591,192.221832275,193.019592285,142.445831299,33.7407112122
23.3752670288,24.4572944641,28.2089271545,18.856092453,20.2664451599,28.3501091003,79.7714614868,124.278381348,119.341796875,99.5480041504,99.9465103149,119.696159363,116.952018738,90.7979202271,92.744468689,37.0307655334,29.3781032562,29.6545124054,89.2981948853,94.8441772461,83.6248550415,60.6972770691,53.6586723328,29.4435195923
30.2261734009,23.0017662048,18.636051178,22.8039245605,26.9976654053,21.2551231384,45.0960426331,145.953796387,165.663879395,202.041442871,146.414199829,150.419433594,247.307510376,204.173294067,104.579071045,29.742099762,30.4622459412,44.5337982178,190.501296997,198.244522095,177.157272339,225.128005981,135.134307861,104.550460815
