t1,t2,t3,t4,t5,t6,t7,exp_ma,hour,slope1,slope2,curr_pred,actual
0,0,0,0,0,0,0,141.75,0,0,0,0,0
0,0,0,0,0,0,0,141.75,1,0,0,0,0
0,0,0,0,0,0,0,141.75,2,0,0,0,0
0,0,0,0,0,0,0,141.75,3,0,0,0,0
0,0,0,0,0,0,0,141.75,4,0,0,0,0
0,0,0,0,0,0,0,141.75,5,0,0.32,0,0
0.32,0.32,0.32,0.32,0.32,0.32,0.32,141.75,6,0.32,7.279999999999999,0.32,0.0
7.6,7.6,7.6,7.6,7.6,7.6,7.6,141.75,7,7.279999999999999,5.620000000000001,7.6,6.43
13.22,13.22,13.22,13.22,13.22,13.22,13.22,141.75,8,5.620000000000001,5.4,13.22,17.2
18.62,18.62,18.62,18.62,18.62,18.62,18.62,141.75,9,5.4,0.6999999999999993,18.62,21.64
19.32,19.32,19.32,19.32,19.32,19.32,19.32,141.75,10,0.6999999999999993,-1.0899999999999999,19.32,22.52
18.23,18.23,18.23,18.23,18.23,18.23,18.23,141.75,11,-1.0899999999999999,4.349999999999998,18.23,21.87
22.58,22.58,22.58,22.58,22.58,22.58,22.58,141.75,12,4.349999999999998,-5.09,22.58,22.77
17.49,17.49,17.49,17.49,17.49,17.49,17.49,141.75,13,-5.09,-7.419999999999998,17.49,22.89
10.07,10.07,10.07,10.07,10.07,10.07,10.07,141.75,14,-7.419999999999998,-1.8000000000000007,10.07,22.03
8.27,8.27,8.27,8.27,8.27,8.27,8.27,141.75,15,-1.8000000000000007,-2.539999999999999,8.27,17.93
5.73,5.73,5.73,5.73,5.73,5.73,5.73,141.75,16,-2.539999999999999,-5.430000000000001,5.73,8.96
0.3,0.3,0.3,0.3,0.3,0.3,0.3,141.75,17,-5.430000000000001,-0.3,0.3,0.13
0,0,0,0,0,0,0,141.75,18,-0.3,0,0,0
0,0,0,0,0,0,0,141.75,19,0,0,0,0
0,0,0,0,0,0,0,141.75,20,0,0,0,0
0,0,0,0,0,0,0,141.75,21,0,0,0,0
0,0,0,0,0,0,0,141.75,22,0,0,0,0
0,0,0,0,0,0,0,141.75,23,0,0,0,0
0,0,0,0,0,0,0,142.388693833,0,0,0,0,0
0,0,0,0,0,0,0,142.388693833,1,0,0,0,0
0,0,0,0,0,0,0,142.388693833,2,0,0,0,0
0,0,0,0,0,0,0,142.388693833,3,0,0,0,0
0,0,0,0,0,0,0,142.388693833,4,0,0,0,0
0,0,0,0,0,0,0,142.388693833,5,0,1.14,0,0
1.14,1.14,1.14,1.14,1.14,1.14,1.14,142.388693833,6,1.14,11.2,1.14,0.0
12.34,12.34,12.34,12.34,12.34,12.34,12.34,142.388693833,7,11.2,7.43,12.34,5.91
19.77,19.77,19.77,19.77,19.77,19.77,19.77,142.388693833,8,7.43,1.1400000000000006,19.77,15.91
20.91,20.91,20.91,20.91,20.91,20.91,20.91,142.388693833,9,1.1400000000000006,-0.1999999999999993,20.91,20.83
20.71,20.71,20.71,20.71,20.71,20.71,20.71,142.388693833,10,-0.1999999999999993,1.259999999999998,20.71,23.34
21.97,21.97,21.97,21.97,21.97,21.97,21.97,142.388693833,11,1.259999999999998,0.5199999999999996,21.97,24.28
22.49,22.49,22.49,22.49,22.49,22.49,22.49,142.388693833,12,0.5199999999999996,-5.419999999999998,22.49,24.44
17.07,17.07,17.07,17.07,17.07,17.07,17.07,142.388693833,13,-5.419999999999998,-6.4,17.07,23.78
10.67,10.67,10.67,10.67,10.67,10.67,10.67,142.388693833,14,-6.4,-3.45,10.67,21.93
7.22,7.22,7.22,7.22,7.22,7.22,7.22,142.388693833,15,-3.45,-1.2599999999999998,7.22,17.84
5.96,5.96,5.96,5.96,5.96,5.96,5.96,142.388693833,16,-1.2599999999999998,-5.71,5.96,9.72
0.25,0.25,0.25,0.25,0.25,0.25,0.25,142.388693833,17,-5.71,-0.25,0.25,0.13
0,0,0,0,0,0,0,142.388693833,18,-0.25,0,0,0
0,0,0,0,0,0,0,142.388693833,19,0,0,0,0
0,0,0,0,0,0,0,142.388693833,20,0,0,0,0
0,0,0,0,0,0,0,142.388693833,21,0,0,0,0
0,0,0,0,0,0,0,142.388693833,22,0,0,0,0
0,0,0,0,0,0,0,142.388693833,23,0,0,0,0
0,0,0,0,0,0,0,144.002675061,0,0,0,0,0
0,0,0,0,0,0,0,144.002675061,1,0,0,0,0
0,0,0,0,0,0,0,144.002675061,2,0,0,0,0
0,0,0,0,0,0,0,144.002675061,3,0,0,0,0
0,0,0,0,0,0,0,144.002675061,4,0,0,0,0
0,0,0,0,0,0,0,144.002675061,5,0,0.44,0,0
0.44,0.44,0.44,0.44,0.44,0.44,0.44,144.002675061,6,0.44,9.34,0.44,0.0
9.78,9.78,9.78,9.78,9.78,9.78,9.78,144.002675061,7,9.34,9.320000000000002,9.78,5.87
19.1,19.1,19.1,19.1,19.1,19.1,19.1,144.002675061,8,9.320000000000002,3.799999999999997,19.1,16.53
22.9,22.9,22.9,22.9,22.9,22.9,22.9,144.002675061,9,3.799999999999997,-3.629999999999999,22.9,21.26
19.27,19.27,19.27,19.27,19.27,19.27,19.27,144.002675061,10,-3.629999999999999,1.3500000000000014,19.27,21.07
20.62,20.62,20.62,20.62,20.62,20.62,20.62,144.002675061,11,1.3500000000000014,4.099999999999998,20.62,18.58
24.72,24.72,24.72,24.72,24.72,24.72,24.72,144.002675061,12,4.099999999999998,-4.099999999999998,24.72,18.25
20.62,20.62,20.62,20.62,20.62,20.62,20.62,144.002675061,13,-4.099999999999998,-0.5400000000000027,20.62,18.05
20.08,20.08,20.08,20.08,20.08,20.08,20.08,144.002675061,14,-0.5400000000000027,-1.1999999999999993,20.08,15.43
18.88,18.88,18.88,18.88,18.88,18.88,18.88,144.002675061,15,-1.1999999999999993,-6.209999999999999,18.88,15.82
12.67,12.67,12.67,12.67,12.67,12.67,12.67,144.002675061,16,-6.209999999999999,-11.98,12.67,10.51
0.69,0.69,0.69,0.69,0.69,0.69,0.69,144.002675061,17,-11.98,-0.69,0.69,0.17
0,0,0,0,0,0,0,144.002675061,18,-0.69,0,0,0
0,0,0,0,0,0,0,144.002675061,19,0,0,0,0
0,0,0,0,0,0,0,144.002675061,20,0,0,0,0
0,0,0,0,0,0,0,144.002675061,21,0,0,0,0
0,0,0,0,0,0,0,144.002675061,22,0,0,0,0
0,0,0,0,0,0,0,144.002675061,23,0,0,0,0
0,0,0,0,0,0,0,143.385690855,0,0,0,0,0
0,0,0,0,0,0,0,143.385690855,1,0,0,0,0
0,0,0,0,0,0,0,143.385690855,2,0,0,0,0
0,0,0,0,0,0,0,143.385690855,3,0,0,0,0
0,0,0,0,0,0,0,143.385690855,4,0,0,0,0
0,0,0,0,0,0,0,143.385690855,5,0,0.16,0,0
0.16,0.16,0.16,0.16,0.16,0.16,0.16,143.385690855,6,0.16,4.4799999999999995,0.16,0.0
4.64,4.64,4.64,4.64,4.64,4.64,4.64,143.385690855,7,4.4799999999999995,4.86,4.64,6.44
9.5,9.5,9.5,9.5,9.5,9.5,9.5,143.385690855,8,4.86,-0.6899999999999995,9.5,17.58
8.81,8.81,8.81,8.81,8.81,8.81,8.81,143.385690855,9,-0.6899999999999995,1.959999999999999,8.81,22.07
