day,demand_pred,hour,hourofday,price_pred,solar_pred
1,46.52,1,1,1.28,0.0
1,19.32,2,2,1.27,0.0
1,51.18,3,3,1.12,0.0
1,47.95,4,4,0.89,0.0
1,21.32,5,5,1.32,0.0
1,24.25,6,6,1.65,0.0
1,20.83,7,7,4.13,2.46
1,33.15,8,8,4.62,10.81
1,22.41,9,9,5.32,16.62
1,22.33,10,10,4.79,20.13
1,114.89,11,11,3.43,24.74
1,112.44,12,12,4.31,19.72
1,132.61,13,13,4.56,19.79
1,89.78,14,14,3.93,19.55
1,73.43,15,15,3.5,19.56
1,76.4,16,16,3.88,14.25
1,22.9,17,17,3.36,12.53
1,25.85,18,18,3.43,5.04
1,80.17,19,19,3.7,0.0
1,99.79,20,20,2.97,0.0
1,109.22,21,21,2.43,0.0
1,126.78,22,22,3.35,0.0
1,67.38,23,23,2.09,0.0
1,31.51,24,24,1.49,0.0
2,23.5,25,1,1.7,0.0
2,21.73,26,2,1.58,0.0
2,23.15,27,3,1.49,0.0
2,25.68,28,4,1.48,0.0
2,21.72,29,5,1.72,0.0
2,19.75,30,6,1.71,0.0
2,70.63,31,7,3.81,2.13
2,31.89,32,8,5.07,11.07
2,25.51,33,9,4.97,13.9
2,68.0,34,10,3.82,20.76
2,144.93,35,11,3.99,18.82
2,95.44,36,12,3.04,17.91
2,111.09,37,13,3.9,17.19
2,98.34,38,14,2.43,16.65
2,76.85,39,15,2.8,13.86
2,80.02,40,16,2.99,8.8
2,96.28,41,17,2.69,6.7
2,179.57,42,18,2.51,1.21
2,139.74,43,19,2.54,0.0
2,123.55,44,20,2.86,0.0
2,98.4,45,21,2.83,0.0
2,87.43,46,22,2.92,0.0
2,39.77,47,23,1.8,0.0
2,19.82,48,24,1.42,0.0
3,65.7,49,1,1.33,0.0
3,25.58,50,2,1.56,0.0
3,21.87,51,3,1.19,0.0
3,23.59,52,4,1.41,0.0
3,24.28,53,5,1.38,0.0
3,17.65,54,6,1.73,0.0
3,30.43,55,7,2.04,2.03
3,99.59,56,8,3.47,8.94
3,105.6,57,9,2.65,10.17
3,105.01,58,10,3.07,14.6
3,125.78,59,11,2.92,21.02
3,105.33,60,12,2.68,19.55
3,107.92,61,13,2.77,18.21
3,95.52,62,14,1.31,13.36
3,91.85,63,15,1.76,7.98
3,79.82,64,16,2.44,6.8
3,97.73,65,17,2.48,6.98
3,92.16,66,18,2.71,3.3
3,75.38,67,19,3.43,0.0
3,85.86,68,20,2.89,0.0
3,131.51,69,21,2.31,0.0
