day,demand_d+1,demand_d+2,demand_d-1,demand_d-2,demand_t+1,demand_t+2,demand_t-1,demand_t-2,demand_td0,hour_of_day
1,23.5,65.7,46.52,46.52,19.32,51.18,46.52,46.52,46.52,1
1,21.73,25.58,19.32,19.32,51.18,47.95,46.52,46.52,19.32,2
1,23.15,21.87,51.18,51.18,47.95,21.32,19.32,46.52,51.18,3
1,25.68,23.59,47.95,47.95,21.32,24.25,51.18,19.32,47.95,4
1,21.72,24.28,21.32,21.32,24.25,20.83,47.95,51.18,21.32,5
1,19.75,17.65,24.25,24.25,20.83,33.15,21.32,47.95,24.25,6
1,70.63,30.43,20.83,20.83,33.15,22.41,24.25,21.32,20.83,7
1,31.89,99.59,33.15,33.15,22.41,22.33,20.83,24.25,33.15,8
1,25.51,105.6,22.41,22.41,22.33,114.89,33.15,20.83,22.41,9
1,68.0,105.01,22.33,22.33,114.89,112.44,22.41,33.15,22.33,10
1,144.93,125.78,114.89,114.89,112.44,132.61,22.33,22.41,114.89,11
1,95.44,105.33,112.44,112.44,132.61,89.78,114.89,22.33,112.44,12
1,111.09,107.92,132.61,132.61,89.78,73.43,112.44,114.89,132.61,13
1,98.34,95.52,89.78,89.78,73.43,76.4,132.61,112.44,89.78,14
1,76.85,91.85,73.43,73.43,76.4,22.9,89.78,132.61,73.43,15
1,80.02,79.82,76.4,76.4,22.9,25.85,73.43,89.78,76.4,16
1,96.28,97.73,22.9,22.9,25.85,80.17,76.4,73.43,22.9,17
1,179.57,92.16,25.85,25.85,80.17,99.79,22.9,76.4,25.85,18
1,139.74,75.38,80.17,80.17,99.79,109.22,25.85,22.9,80.17,19
1,123.55,85.86,99.79,99.79,109.22,126.78,80.17,25.85,99.79,20
1,98.4,131.51,109.22,109.22,126.78,67.38,99.79,80.17,109.22,21
1,87.43,140.43,126.78,126.78,67.38,31.51,109.22,99.79,126.78,22
1,39.77,83.6,67.38,67.38,31.51,23.5,126.78,109.22,67.38,23
1,19.82,28.08,31.51,31.51,23.5,21.73,67.38,126.78,31.51,24
2,65.7,65.04,46.52,46.52,21.73,23.15,31.51,67.38,23.5,1
