hour1,hour2,hour3,hour4,hour5,hour6,hour7,hour8,hour9,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23,hour24
47.2115249634,20.4510593414,51.0796508789,48.7003669739,21.2775001526,24.2140159607,20.7671737671,33.5809860229,22.7524967194,22.9813022614,113.892341614,114.266029358,130.578155518,89.9895172119,78.7113418579,79.9934463501,23.3636646271,26.4080295563,82.9701309204,99.4476394653,111.658561707,123.743606567,67.9409255981,31.4732952118
23.0932407379,21.9869842529,22.9419136047,25.9284667969,21.9333934784,20.0038604736,70.984375,32.3928756714,25.6214008331,69.8138046265,144.22052002,97.1318359375,111.732666016,96.69921875,81.6611404419,84.0492324829,96.4424819946,175.712509155,142.007293701,123.943130493,98.4674453735,87.3292007446,41.0802192688,21.1529979706
64.6721343994,25.3799648285,22.0248680115,22.9419136047,24.365819931,18.6790618896,30.6209468842,98.1593704224,105.350509644,106.205635071,124.362937927,106.168136597,106.777275085,94.8145904541,89.2807235718,84.3360671997,94.4189758301,89.4559020996,81.0662689209,87.7100067139,130.085800171,139.336868286,85.6117248535,29.5121059418
65.0069046021,50.130859375,21.6868515015,18.7962398529,26.1886978149,26.4591293335,29.2460327148,63.7456665039,96.6467971802,87.9364852905,115.447891235,99.5927810669,98.0825271606,94.583946228,85.5108108521,50.8847694397,29.1552276611,84.3180236816,79.2687911987,31.9352531433,86.0579147339,86.7258911133,84.4679412842,103.101325989
44.1074142456,21.4744491577,22.8846683502,27.288356781,55.4771232605,26.6901340485,23.0743560791,28.4906520844,62.4528274536,112.199798584,119.213592529,111.068565369,116.706222534,114.609191895,86.8807983398,88.3242492676,93.2596740723,57.0338783264,30.4511127472,27.8574142456,57.3945999146,93.4474639893,22.5044288635,25.9794597626
18.1030731201,20.0359363556,25.8446712494,26.0093612671,21.331401825,63.1363677979,20.1073989868,28.2857379913,22.2568969727,22.9875793457,18.9184513092,19.8803405762,30.1797389984,34.9872436523,33.1269645691,79.0353164673,41.3946762085,112.618858337,162.516372681,147.323638916,139.275482178,165.380966187,162.386276245,96.5969009399
87.8086547852,165.074295044,109.017486572,95.6440353394,123.672805786,116.795600891,26.7507801056,28.5157394409,25.4422225952,26.112165451,120.000061035,123.568008423,119.170257568,122.841461182,51.2036056519,23.3516902924,23.9988975525,22.124124527,23.3042373657,24.6836853027,23.2628631592,25.502866745,59.4724235535,26.1113986969
50.3177680969,57.2587280273,50.4201660156,47.5923042297,47.6466522217,57.5261802673,47.371421814,42.4471931458,146.907089233,85.1481781006,87.9900970459,86.6183242798,89.380607605,63.2868080139,26.4239330292,30.2859210968,28.4028358459,19.0847072601,22.8495903015,20.4363422394,26.3505535126,19.5980300903,23.3105602264,72.4848175049
20.7037963867,24.3829936981,43.3629493713,23.1931209564,21.9869842529,21.9684295654,22.9419136047,23.0391273499,19.9964160919,19.1664142609,80.490562439,170.713897705,108.462867737,37.4350662231,129.935699463,70.3287582397,28.6156196594,24.5847263336,20.087890625,32.453918457,55.7107009888,99.5883255005,129.081985474,81.1084823608
22.6431808472,19.877620697,21.8197097778,20.361114502,20.000207901,20.8775730133,19.7681274414,89.8697052002,105.52973175,106.143112183,49.5051307678,85.7856445312,187.900878906,181.462799072,123.792129517,154.426559448,93.235168457,115.573539734,106.250686646,214.640792847,165.349578857,145.487121582,38.7714118958,25.627784729
