day,hour_of_day,price_d+1,price_d+2,price_d+3,price_d+4,price_d+5,price_d-1,price_d-2,price_d-3,price_d-4,price_d-5,price_t+1,price_t+2,price_t+3,price_t+4,price_t+5,price_t-1,price_t-2,price_t-3,price_t-4,price_t-5,price_td0,solar_d+1,solar_d+2,solar_d+3,solar_d+4,solar_d+5,solar_d-1,solar_d-2,solar_d-3,solar_d-4,solar_d-5,solar_t+1,solar_t+2,solar_t+3,solar_t+4,solar_t+5,solar_t-1,solar_t-2,solar_t-3,solar_t-4,solar_t-5,solar_td0
1,1,1.7,1.33,1.64,1.72,1.25,1.28,1.28,1.28,1.28,1.28,1.27,1.12,0.89,1.32,1.65,1.28,1.28,1.28,1.28,1.28,1.28,1.7,1.33,1.64,1.72,1.25,1.28,1.28,1.28,1.28,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,1.58,1.56,1.52,1.63,1.23,1.27,1.27,1.27,1.27,1.27,1.12,0.89,1.32,1.65,4.13,1.28,1.28,1.28,1.28,1.28,1.27,1.58,1.56,1.52,1.63,1.23,1.27,1.27,1.27,1.27,1.27,0.0,0.0,0.0,0.0,2.46,0.0,0.0,0.0,0.0,0.0,0.0
1,3,1.49,1.19,1.52,1.29,1.46,1.12,1.12,1.12,1.12,1.12,0.89,1.32,1.65,4.13,4.62,1.27,1.28,1.28,1.28,1.28,1.12,1.49,1.19,1.52,1.29,1.46,1.12,1.12,1.12,1.12,1.12,0.0,0.0,0.0,2.46,10.81,0.0,0.0,0.0,0.0,0.0,0.0
1,4,1.48,1.41,1.5,1.47,1.41,0.89,0.89,0.89,0.89,0.89,1.32,1.65,4.13,4.62,5.32,1.12,1.27,1.28,1.28,1.28,0.89,1.48,1.41,1.5,1.47,1.41,0.89,0.89,0.89,0.89,0.89,0.0,0.0,2.46,10.81,16.62,0.0,0.0,0.0,0.0,0.0,0.0
1,5,1.72,1.38,1.83,1.84,1.59,1.32,1.32,1.32,1.32,1.32,1.65,4.13,4.62,5.32,4.79,0.89,1.12,1.27,1.28,1.28,1.32,1.72,1.38,1.83,1.84,1.59,1.32,1.32,1.32,1.32,1.32,0.0,2.46,10.81,16.62,20.13,0.0,0.0,0.0,0.0,0.0,0.0
1,6,1.71,1.73,1.91,1.83,1.4,1.65,1.65,1.65,1.65,1.65,4.13,4.62,5.32,4.79,3.43,1.32,0.89,1.12,1.27,1.28,1.65,1.71,1.73,1.91,1.83,1.4,1.65,1.65,1.65,1.65,1.65,2.46,10.81,16.62,20.13,24.74,0.0,0.0,0.0,0.0,0.0,0.0
1,7,3.81,2.04,2.36,2.38,2.75,4.13,4.13,4.13,4.13,4.13,4.62,5.32,4.79,3.43,4.31,1.65,1.32,0.89,1.12,1.27,4.13,3.81,2.04,2.36,2.38,2.75,4.13,4.13,4.13,4.13,4.13,10.81,16.62,20.13,24.74,19.72,0.0,0.0,0.0,0.0,0.0,2.46
1,8,5.07,3.47,2.58,2.42,3.58,4.62,4.62,4.62,4.62,4.62,5.32,4.79,3.43,4.31,4.56,4.13,1.65,1.32,0.89,1.12,4.62,5.07,3.47,2.58,2.42,3.58,4.62,4.62,4.62,4.62,4.62,16.62,20.13,24.74,19.72,19.79,2.46,0.0,0.0,0.0,0.0,10.81
1,9,4.97,2.65,2.7,2.79,3.62,5.32,5.32,5.32,5.32,5.32,4.79,3.43,4.31,4.56,3.93,4.62,4.13,1.65,1.32,0.89,5.32,4.97,2.65,2.7,2.79,3.62,5.32,5.32,5.32,5.32,5.32,20.13,24.74,19.72,19.79,19.55,10.81,2.46,0.0,0.0,0.0,16.62
1,10,3.82,3.07,3.42,2.72,3.21,4.79,4.79,4.79,4.79,4.79,3.43,4.31,4.56,3.93,3.5,5.32,4.62,4.13,1.65,1.32,4.79,3.82,3.07,3.42,2.72,3.21,4.79,4.79,4.79,4.79,4.79,24.74,19.72,19.79,19.55,19.56,16.62,10.81,2.46,0.0,0.0,20.13
1,11,3.99,2.92,2.54,2.17,2.97,3.43,3.43,3.43,3.43,3.43,4.31,4.56,3.93,3.5,3.88,4.79,5.32,4.62,4.13,1.65,3.43,3.99,2.92,2.54,2.17,2.97,3.43,3.43,3.43,3.43,3.43,19.72,19.79,19.55,19.56,14.25,20.13,16.62,10.81,2.46,0.0,24.74
1,12,3.04,2.68,2.72,2.36,2.33,4.31,4.31,4.31,4.31,4.31,4.56,3.93,3.5,3.88,3.36,3.43,4.79,5.32,4.62,4.13,4.31,3.04,2.68,2.72,2.36,2.33,4.31,4.31,4.31,4.31,4.31,19.79,19.55,19.56,14.25,12.53,24.74,20.13,16.62,10.81,2.46,19.72
1,13,3.9,2.77,2.41,2.0,2.37,4.56,4.56,4.56,4.56,4.56,3.93,3.5,3.88,3.36,3.43,4.31,3.43,4.79,5.32,4.62,4.56,3.9,2.77,2.41,2.0,2.37,4.56,4.56,4.56,4.56,4.56,19.55,19.56,14.25,12.53,5.04,19.72,24.74,20.13,16.62,10.81,19.79
1,14,2.43,1.31,2.16,1.57,2.17,3.93,3.93,3.93,3.93,3.93,3.5,3.88,3.36,3.43,3.7,4.56,4.31,3.43,4.79,5.32,3.93,2.43,1.31,2.16,1.57,2.17,3.93,3.93,3.93,3.93,3.93,19.56,14.25,12.53,5.04,0.0,19.79,19.72,24.74,20.13,16.62,19.55
1,15,2.8,1.76,2.27,1.23,2.68,3.5,3.5,3.5,3.5,3.5,3.88,3.36,3.43,3.7,2.97,3.93,4.56,4.31,3.43,4.79,3.5,2.8,1.76,2.27,1.23,2.68,3.5,3.5,3.5,3.5,3.5,14.25,12.53,5.04,0.0,0.0,19.55,19.79,19.72,24.74,20.13,19.56
1,16,2.99,2.44,2.16,0.79,1.99,3.88,3.88,3.88,3.88,3.88,3.36,3.43,3.7,2.97,2.43,3.5,3.93,4.56,4.31,3.43,3.88,2.99,2.44,2.16,0.79,1.99,3.88,3.88,3.88,3.88,3.88,12.53,5.04,0.0,0.0,0.0,19.56,19.55,19.79,19.72,24.74,14.25
1,17,2.69,2.48,2.28,1.9,2.13,3.36,3.36,3.36,3.36,3.36,3.43,3.7,2.97,2.43,3.35,3.88,3.5,3.93,4.56,4.31,3.36,2.69,2.48,2.28,1.9,2.13,3.36,3.36,3.36,3.36,3.36,5.04,0.0,0.0,0.0,0.0,14.25,19.56,19.55,19.79,19.72,12.53
1,18,2.51,2.71,2.91,1.94,2.38,3.43,3.43,3.43,3.43,3.43,3.7,2.97,2.43,3.35,2.09,3.36,3.88,3.5,3.93,4.56,3.43,2.51,2.71,2.91,1.94,2.38,3.43,3.43,3.43,3.43,3.43,0.0,0.0,0.0,0.0,0.0,12.53,14.25,19.56,19.55,19.79,5.04
1,19,2.54,3.43,2.56,1.56,2.59,3.7,3.7,3.7,3.7,3.7,2.97,2.43,3.35,2.09,1.49,3.43,3.36,3.88,3.5,3.93,3.7,2.54,3.43,2.56,1.56,2.59,3.7,3.7,3.7,3.7,3.7,0.0,0.0,0.0,0.0,0.0,5.04,12.53,14.25,19.56,19.55,0.0
1,20,2.86,2.89,2.7,2.14,2.42,2.97,2.97,2.97,2.97,2.97,2.43,3.35,2.09,1.49,1.7,3.7,3.43,3.36,3.88,3.5,2.97,2.86,2.89,2.7,2.14,2.42,2.97,2.97,2.97,2.97,2.97,0.0,0.0,0.0,0.0,0.0,0.0,5.04,12.53,14.25,19.56,0.0
1,21,2.83,2.31,2.61,1.5,2.73,2.43,2.43,2.43,2.43,2.43,3.35,2.09,1.49,1.7,1.58,2.97,3.7,3.43,3.36,3.88,2.43,2.83,2.31,2.61,1.5,2.73,2.43,2.43,2.43,2.43,2.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.04,12.53,14.25,0.0
1,22,2.92,3.65,2.51,1.5,2.32,3.35,3.35,3.35,3.35,3.35,2.09,1.49,1.7,1.58,1.49,2.43,2.97,3.7,3.43,3.36,3.35,2.92,3.65,2.51,1.5,2.32,3.35,3.35,3.35,3.35,3.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.04,12.53,0.0
1,23,1.8,2.31,1.61,1.43,1.92,2.09,2.09,2.09,2.09,2.09,1.49,1.7,1.58,1.49,1.48,3.35,2.43,2.97,3.7,3.43,2.09,1.8,2.31,1.61,1.43,1.92,2.09,2.09,2.09,2.09,2.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.04,0.0
1,24,1.42,1.47,1.69,1.34,1.59,1.49,1.49,1.49,1.49,1.49,1.7,1.58,1.49,1.48,1.72,2.09,3.35,2.43,2.97,3.7,1.49,1.42,1.47,1.69,1.34,1.59,1.49,1.49,1.49,1.49,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,1.33,1.64,1.72,1.25,2.0,1.28,1.28,1.28,1.28,1.28,1.58,1.49,1.48,1.72,1.71,1.49,2.09,3.35,2.43,2.97,1.7,1.33,1.64,1.72,1.25,2.0,1.28,1.28,1.28,1.28,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,1.56,1.52,1.63,1.23,1.76,1.27,1.27,1.27,1.27,1.27,1.49,1.48,1.72,1.71,3.81,1.7,1.49,2.09,3.35,2.43,1.58,1.56,1.52,1.63,1.23,1.76,1.27,1.27,1.27,1.27,1.27,0.0,0.0,0.0,0.0,2.13,0.0,0.0,0.0,0.0,0.0,0.0
2,3,1.19,1.52,1.29,1.46,1.41,1.12,1.12,1.12,1.12,1.12,1.48,1.72,1.71,3.81,5.07,1.58,1.7,1.49,2.09,3.35,1.49,1.19,1.52,1.29,1.46,1.41,1.12,1.12,1.12,1.12,1.12,0.0,0.0,0.0,2.13,11.07,0.0,0.0,0.0,0.0,0.0,0.0
2,4,1.41,1.5,1.47,1.41,1.39,0.89,0.89,0.89,0.89,0.89,1.72,1.71,3.81,5.07,4.97,1.49,1.58,1.7,1.49,2.09,1.48,1.41,1.5,1.47,1.41,1.39,0.89,0.89,0.89,0.89,0.89,0.0,0.0,2.13,11.07,13.9,0.0,0.0,0.0,0.0,0.0,0.0
2,5,1.38,1.83,1.84,1.59,1.96,1.32,1.32,1.32,1.32,1.32,1.71,3.81,5.07,4.97,3.82,1.48,1.49,1.58,1.7,1.49,1.72,1.38,1.83,1.84,1.59,1.96,1.32,1.32,1.32,1.32,1.32,0.0,2.13,11.07,13.9,20.76,0.0,0.0,0.0,0.0,0.0,0.0
2,6,1.73,1.91,1.83,1.4,1.72,1.65,1.65,1.65,1.65,1.65,3.81,5.07,4.97,3.82,3.99,1.72,1.48,1.49,1.58,1.7,1.71,1.73,1.91,1.83,1.4,1.72,1.65,1.65,1.65,1.65,1.65,2.13,11.07,13.9,20.76,18.82,0.0,0.0,0.0,0.0,0.0,0.0
2,7,2.04,2.36,2.38,2.75,3.36,4.13,4.13,4.13,4.13,4.13,5.07,4.97,3.82,3.99,3.04,1.71,1.72,1.48,1.49,1.58,3.81,2.04,2.36,2.38,2.75,3.36,4.13,4.13,4.13,4.13,4.13,11.07,13.9,20.76,18.82,17.91,0.0,0.0,0.0,0.0,0.0,2.13
2,8,3.47,2.58,2.42,3.58,3.21,4.62,4.62,4.62,4.62,4.62,4.97,3.82,3.99,3.04,3.9,3.81,1.71,1.72,1.48,1.49,5.07,3.47,2.58,2.42,3.58,3.21,4.62,4.62,4.62,4.62,4.62,13.9,20.76,18.82,17.91,17.19,2.13,0.0,0.0,0.0,0.0,11.07
2,9,2.65,2.7,2.79,3.62,3.38,5.32,5.32,5.32,5.32,5.32,3.82,3.99,3.04,3.9,2.43,5.07,3.81,1.71,1.72,1.48,4.97,2.65,2.7,2.79,3.62,3.38,5.32,5.32,5.32,5.32,5.32,20.76,18.82,17.91,17.19,16.65,11.07,2.13,0.0,0.0,0.0,13.9
2,10,3.07,3.42,2.72,3.21,2.29,4.79,4.79,4.79,4.79,4.79,3.99,3.04,3.9,2.43,2.8,4.97,5.07,3.81,1.71,1.72,3.82,3.07,3.42,2.72,3.21,2.29,4.79,4.79,4.79,4.79,4.79,18.82,17.91,17.19,16.65,13.86,13.9,11.07,2.13,0.0,0.0,20.76
