t1,t2,t3,t4,t5,t6,t7,exp_ma,hour,slope1,slope2,curr_pred,actual
0,0,0,0,0,0,0,185.2,0,0,0,0,0
0,0,0,0,0,0,0,185.2,1,0,0,0,0
0,0,0,0,0,0,0,185.2,2,0,0,0,0
0,0,0,0,0,0,0,185.2,3,0,0,0,0
0,0,0,0,0,0,0,185.2,4,0,0,0,0
0,0,0,0,0,0,0,185.2,5,0,2.46,0,0
2.46,2.46,2.46,2.46,2.46,2.46,2.46,185.2,6,2.46,8.350000000000001,2.46,0.0
10.81,10.81,10.81,10.81,10.81,10.81,10.81,185.2,7,8.350000000000001,5.8100000000000005,10.81,6.43
16.62,16.62,16.62,16.62,16.62,16.62,16.62,185.2,8,5.8100000000000005,3.509999999999998,16.62,17.2
20.13,20.13,20.13,20.13,20.13,20.13,20.13,185.2,9,3.509999999999998,4.609999999999999,20.13,21.64
24.74,24.74,24.74,24.74,24.74,24.74,24.74,185.2,10,4.609999999999999,-5.02,24.74,22.52
19.72,19.72,19.72,19.72,19.72,19.72,19.72,185.2,11,-5.02,0.07000000000000028,19.72,21.87
19.79,19.79,19.79,19.79,19.79,19.79,19.79,185.2,12,0.07000000000000028,-0.23999999999999844,19.79,22.77
19.55,19.55,19.55,19.55,19.55,19.55,19.55,185.2,13,-0.23999999999999844,0.00999999999999801,19.55,22.89
19.56,19.56,19.56,19.56,19.56,19.56,19.56,185.2,14,0.00999999999999801,-5.309999999999999,19.56,22.03
14.25,14.25,14.25,14.25,14.25,14.25,14.25,185.2,15,-5.309999999999999,-1.7200000000000006,14.25,17.93
12.53,12.53,12.53,12.53,12.53,12.53,12.53,185.2,16,-1.7200000000000006,-7.489999999999999,12.53,8.96
5.04,5.04,5.04,5.04,5.04,5.04,5.04,185.2,17,-7.489999999999999,-5.04,5.04,0.13
0,0,0,0,0,0,0,185.2,18,-5.04,0,0,0
0,0,0,0,0,0,0,185.2,19,0,0,0,0
0,0,0,0,0,0,0,185.2,20,0,0,0,0
0,0,0,0,0,0,0,185.2,21,0,0,0,0
0,0,0,0,0,0,0,185.2,22,0,0,0,0
0,0,0,0,0,0,0,185.2,23,0,0,0,0
0,0,0,0,0,0,0,183.966895107,0,0,0,0,0
0,0,0,0,0,0,0,183.966895107,1,0,0,0,0
0,0,0,0,0,0,0,183.966895107,2,0,0,0,0
0,0,0,0,0,0,0,183.966895107,3,0,0,0,0
0,0,0,0,0,0,0,183.966895107,4,0,0,0,0
0,0,0,0,0,0,0,183.966895107,5,0,2.13,0,0
2.13,2.13,2.13,2.13,2.13,2.13,2.13,183.966895107,6,2.13,8.940000000000001,2.13,0.0
11.07,11.07,11.07,11.07,11.07,11.07,11.07,183.966895107,7,8.940000000000001,2.83,11.07,5.91
13.9,13.9,13.9,13.9,13.9,13.9,13.9,183.966895107,8,2.83,6.860000000000001,13.9,15.91
20.76,20.76,20.76,20.76,20.76,20.76,20.76,183.966895107,9,6.860000000000001,-1.9400000000000013,20.76,20.83
18.82,18.82,18.82,18.82,18.82,18.82,18.82,183.966895107,10,-1.9400000000000013,-0.9100000000000001,18.82,23.34
17.91,17.91,17.91,17.91,17.91,17.91,17.91,183.966895107,11,-0.9100000000000001,-0.7199999999999989,17.91,24.28
17.19,17.19,17.19,17.19,17.19,17.19,17.19,183.966895107,12,-0.7199999999999989,-0.5400000000000027,17.19,24.44
16.65,16.65,16.65,16.65,16.65,16.65,16.65,183.966895107,13,-0.5400000000000027,-2.789999999999999,16.65,23.78
13.86,13.86,13.86,13.86,13.86,13.86,13.86,183.966895107,14,-2.789999999999999,-5.059999999999999,13.86,21.93
8.8,8.8,8.8,8.8,8.8,8.8,8.8,183.966895107,15,-5.059999999999999,-2.1000000000000005,8.8,17.84
6.7,6.7,6.7,6.7,6.7,6.7,6.7,183.966895107,16,-2.1000000000000005,-5.49,6.7,9.72
1.21,1.21,1.21,1.21,1.21,1.21,1.21,183.966895107,17,-5.49,-1.21,1.21,0.13
0,0,0,0,0,0,0,183.966895107,18,-1.21,0,0,0
0,0,0,0,0,0,0,183.966895107,19,0,0,0,0
0,0,0,0,0,0,0,183.966895107,20,0,0,0,0
0,0,0,0,0,0,0,183.966895107,21,0,0,0,0
0,0,0,0,0,0,0,183.966895107,22,0,0,0,0
0,0,0,0,0,0,0,183.966895107,23,0,0,0,0
0,0,0,0,0,0,0,182.228731736,0,0,0,0,0
0,0,0,0,0,0,0,182.228731736,1,0,0,0,0
0,0,0,0,0,0,0,182.228731736,2,0,0,0,0
0,0,0,0,0,0,0,182.228731736,3,0,0,0,0
0,0,0,0,0,0,0,182.228731736,4,0,0,0,0
0,0,0,0,0,0,0,182.228731736,5,0,2.03,0,0
2.03,2.03,2.03,2.03,2.03,2.03,2.03,182.228731736,6,2.03,6.91,2.03,0.0
8.94,8.94,8.94,8.94,8.94,8.94,8.94,182.228731736,7,6.91,1.2300000000000004,8.94,5.87
10.17,10.17,10.17,10.17,10.17,10.17,10.17,182.228731736,8,1.2300000000000004,4.43,10.17,16.53
14.6,14.6,14.6,14.6,14.6,14.6,14.6,182.228731736,9,4.43,6.42,14.6,21.26
21.02,21.02,21.02,21.02,21.02,21.02,21.02,182.228731736,10,6.42,-1.4699999999999989,21.02,21.07
19.55,19.55,19.55,19.55,19.55,19.55,19.55,182.228731736,11,-1.4699999999999989,-1.3399999999999999,19.55,18.58
18.21,18.21,18.21,18.21,18.21,18.21,18.21,182.228731736,12,-1.3399999999999999,-4.850000000000001,18.21,18.25
13.36,13.36,13.36,13.36,13.36,13.36,13.36,182.228731736,13,-4.850000000000001,-5.379999999999999,13.36,18.05
7.98,7.98,7.98,7.98,7.98,7.98,7.98,182.228731736,14,-5.379999999999999,-1.1800000000000006,7.98,15.43
6.8,6.8,6.8,6.8,6.8,6.8,6.8,182.228731736,15,-1.1800000000000006,0.1800000000000006,6.8,15.82
6.98,6.98,6.98,6.98,6.98,6.98,6.98,182.228731736,16,0.1800000000000006,-3.6800000000000006,6.98,10.51
3.3,3.3,3.3,3.3,3.3,3.3,3.3,182.228731736,17,-3.6800000000000006,-3.3,3.3,0.17
0,0,0,0,0,0,0,182.228731736,18,-3.3,0,0,0
0,0,0,0,0,0,0,182.228731736,19,0,0,0,0
0,0,0,0,0,0,0,182.228731736,20,0,0,0,0
0,0,0,0,0,0,0,182.228731736,21,0,0,0,0
0,0,0,0,0,0,0,182.228731736,22,0,0,0,0
0,0,0,0,0,0,0,182.228731736,23,0,0,0,0
0,0,0,0,0,0,0,181.818307701,0,0,0,0,0
0,0,0,0,0,0,0,181.818307701,1,0,0,0,0
0,0,0,0,0,0,0,181.818307701,2,0,0,0,0
0,0,0,0,0,0,0,181.818307701,3,0,0,0,0
0,0,0,0,0,0,0,181.818307701,4,0,0,0,0
0,0,0,0,0,0,0,181.818307701,5,0,1.91,0,0
1.91,1.91,1.91,1.91,1.91,1.91,1.91,181.818307701,6,1.91,8.05,1.91,0.0
9.96,9.96,9.96,9.96,9.96,9.96,9.96,181.818307701,7,8.05,5.25,9.96,6.44
15.21,15.21,15.21,15.21,15.21,15.21,15.21,181.818307701,8,5.25,3.6899999999999977,15.21,17.58
18.9,18.9,18.9,18.9,18.9,18.9,18.9,181.818307701,9,3.6899999999999977,-1.0999999999999979,18.9,22.07
17.8,17.8,17.8,17.8,17.8,17.8,17.8,181.818307701,10,-1.0999999999999979,0.21000000000000085,17.8,21.8
18.01,18.01,18.01,18.01,18.01,18.01,18.01,181.818307701,11,0.21000000000000085,1.8199999999999967,18.01,18.51
19.83,19.83,19.83,19.83,19.83,19.83,19.83,181.818307701,12,1.8199999999999967,-0.9599999999999973,19.83,20.26
18.87,18.87,18.87,18.87,18.87,18.87,18.87,181.818307701,13,-0.9599999999999973,-2.0700000000000003,18.87,21.44
16.8,16.8,16.8,16.8,16.8,16.8,16.8,181.818307701,14,-2.0700000000000003,-2.960000000000001,16.8,20.82
13.84,13.84,13.84,13.84,13.84,13.84,13.84,181.818307701,15,-2.960000000000001,-0.2400000000000002,13.84,18.22
13.6,13.6,13.6,13.6,13.6,13.6,13.6,181.818307701,16,-0.2400000000000002,-8.149999999999999,13.6,11.14
