hour1,hour2,hour3,hour4,hour5,hour6,hour7,hour8,hour9,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23,hour24,row_sum,exp_ma
0,0,0,0,0,0,2.46,10.81,16.62,20.13,24.74,19.72,19.79,19.55,19.56,14.25,12.53,5.04,0,0,0,0,0,0,185.2,185.2
0,0,0,0,0,0,2.13,11.07,13.9,20.76,18.82,17.91,17.19,16.65,13.86,8.8,6.7,1.21,0,0,0,0,0,0,149.0,183.966895107
0,0,0,0,0,0,2.03,8.94,10.17,14.6,21.02,19.55,18.21,13.36,7.98,6.8,6.98,3.3,0,0,0,0,0,0,132.94,182.228731736
0,0,0,0,0,0,1.91,9.96,15.21,18.9,17.8,18.01,19.83,18.87,16.8,13.84,13.6,5.45,0,0,0,0,0,0,170.18,181.818307701
0,0,0,0,0,0,0.9,9.61,15.35,20.45,23.13,20.56,24.05,22.15,15.22,13.36,7.61,3.06,0,0,0,0,0,0,175.45,181.601379763
0,0,0,0,0,0,0.74,6.48,12.21,13.45,17.01,17.99,21.05,21.38,19.83,16.69,10.31,3.1,0,0,0,0,0,0,160.24,180.873732749
0,0,0,0,0,0,1.88,8.85,16.39,18.73,17.82,15.5,13.66,13.26,11.04,10.21,7.13,3.02,0,0,0,0,0,0,137.49,179.395923546
0,0,0,0,0,0,1.57,9.31,14.1,19.05,23.37,23.25,19.97,19.17,25.08,17.64,14.93,5.07,0,0,0,0,0,0,192.51,179.842637133
0,0,0,0,0,0,2.8,10.8,18.14,22.65,20.98,20.43,21.4,22.81,23.11,17.67,12.61,4.97,0,0,0,0,0,0,198.37,180.473747128
0,0,0,0,0,0,2.0,9.79,13.5,13.99,16.5,20.61,15.42,16.55,12.54,8.13,5.8,1.45,0,0,0,0,0,0,136.28,178.968345862
0,0,0,0,0,0,2.17,10.47,11.37,15.42,19.26,14.31,16.52,19.34,15.22,16.44,10.45,2.55,0,0,0,0,0,0,153.52,178.101481779
0,0,0,0,0,0,0.26,3.38,8.84,10.44,14.03,14.52,13.84,15.55,17.13,16.4,10.86,5.38,0,0,0,0,0,0,130.63,176.484428838
0,0,0,0,0,0,2.04,12.29,19.93,23.55,18.3,21.87,19.92,22.63,20.25,18.41,12.35,3.23,0,0,0,0,0,0,194.77,177.10730252
0,0,0,0,0,0,0.26,4.13,9.38,10.04,12.95,14.94,15.42,17.4,17.62,15.13,9.21,5.73,0,0,0,0,0,0,132.21,175.577935575
0,0,0,0,0,0,0.34,2.39,3.57,6.09,10.17,8.5,10.14,9.31,6.64,5.3,3.2,0.73,0,0,0,0,0,0,66.38,171.858253015
0,0,0,0,0,0,0.18,1.82,4.4,8.66,12.32,13.55,14.69,10.78,6.06,4.88,2.92,0.8,0,0,0,0,0,0,81.06,168.76533119
0,0,0,0,0,0,0.8,4.45,3.64,5.57,9.36,9.21,9.55,7.58,6.21,5.61,2.79,0.78,0,0,0,0,0,0,65.55,165.249438099
0,0,0,0,0,0,0.14,1.76,3.49,8.61,9.93,13.12,12.52,8.72,7.31,4.96,2.69,0.75,0,0,0,0,0,0,74.0,162.141147253
0,0,0,0,0,0,0.14,1.64,3.81,6.36,8.6,8.87,8.51,8.15,6.45,5.49,2.39,0.76,0,0,0,0,0,0,61.17,158.701699305
0,0,0,0,0,0,0.19,2.08,4.77,6.49,8.84,9.58,9.13,7.61,7.67,5.35,3.23,0.73,0,0,0,0,0,0,65.67,155.532698101
0,0,0,0,0,0,0.3,6.29,13.22,15.19,15.97,15.92,15.1,10.3,7.49,5.62,3.27,0.77,0,0,0,0,0,0,109.44,153.962611594
0,0,0,0,0,0,0.38,5.45,7.38,11.15,14.44,16.78,19.27,18.73,16.89,16.72,12.28,6.66,0,0,0,0,0,0,146.13,153.695804089
0,0,0,0,0,0,0.42,5.3,9.36,10.6,13.85,14.78,12.28,14.29,11.15,9.0,6.6,1.93,0,0,0,0,0,0,109.56,152.192376575
0,0,0,0,0,0,0.33,5.6,10.83,16.06,16.19,16.19,20.13,24.89,21.32,20.78,12.79,6.27,0,0,0,0,0,0,171.38,152.845977468
0,0,0,0,0,0,1.48,9.84,20.02,21.12,21.38,20.65,19.86,20.84,19.27,17.65,12.07,3.62,0,0,0,0,0,0,187.8,154.036639795
0,0,0,0,0,0,0.37,4.66,7.13,10.38,12.0,12.16,14.19,9.7,7.38,7.52,3.95,1.82,0,0,0,0,0,0,91.26,151.898236986
0,0,0,0,0,0,0.21,3.99,7.04,8.69,9.64,7.58,10.63,14.33,16.1,11.39,5.96,0.75,0,0,0,0,0,0,96.31,150.004697565
0,0,0,0,0,0,0.25,2.04,3.72,7.12,9.29,9.77,11.45,13.16,11.33,11.88,6.75,4.28,0,0,0,0,0,0,91.04,147.996143502
0,0,0,0,0,0,0.49,6.91,10.17,12.66,16.14,16.73,13.83,11.51,12.94,9.8,6.34,1.72,0,0,0,0,0,0,119.24,147.016603689
0,0,0,0,0,0,0.43,10.41,20.02,21.17,19.77,21.56,20.54,21.82,15.42,17.29,14.15,5.45,0,0,0,0,0,0,188.03,148.41367053
0,0,0,0,0,0,1.67,12.49,19.77,23.78,21.12,19.1,17.67,16.48,16.67,12.81,8.75,3.4,0,0,0,0,0,0,173.71,149.275356377
0,0,0,0,0,0,0.33,5.09,11.3,14.42,16.22,11.78,17.27,16.14,13.54,12.91,10.86,4.39,0,0,0,0,0,0,134.25,148.763537579
0,0,0,0,0,0,0.48,5.31,8.41,13.14,15.56,20.76,20.91,18.38,18.32,17.18,9.28,1.35,0,0,0,0,0,0,149.08,148.774317451
0,0,0,0,0,0,1.24,11.83,15.03,21.83,21.04,19.91,18.2,18.01,19.71,15.23,9.82,3.4,0,0,0,0,0,0,175.25,149.676176393
0,0,0,0,0,0,1.33,10.79,14.97,19.7,19.93,21.87,15.02,15.42,12.57,7.33,5.84,1.67,0,0,0,0,0,0,146.44,149.565940345
0,0,0,0,0,0,0.54,8.76,14.75,17.31,17.6,19.15,17.54,19.68,15.48,11.9,9.55,4.04,0,0,0,0,0,0,156.3,149.795327138
0,0,0,0,0,0,0.49,9.79,11.57,17.11,17.75,20.51,14.77,14.44,11.17,9.0,3.57,0.68,0,0,0,0,0,0,130.85,149.149979746
0,0,0,0,0,0,0.13,3.2,6.95,9.65,11.78,13.58,13.42,14.19,10.18,9.63,5.76,1.71,0,0,0,0,0,0,100.18,147.481882463
0,0,0,0,0,0,0.15,5.44,9.29,15.56,18.14,15.06,15.1,13.24,7.63,8.67,7.5,3.28,0,0,0,0,0,0,119.06,146.513728808
0,0,0,0,0,0,0.17,4.14,11.8,13.63,12.09,13.99,17.68,19.78,19.57,12.66,5.33,0.76,0,0,0,0,0,0,131.6,146.005712455
0,0,0,0,0,0,0.5,10.02,12.14,16.28,21.47,16.84,15.95,18.2,11.64,9.86,7.89,3.48,0,0,0,0,0,0,144.27,145.946587717
0,0,0,0,0,0,0.56,9.15,15.36,19.59,18.38,19.0,17.35,18.29,17.96,16.51,8.36,3.03,0,0,0,0,0,0,163.54,146.545883926
0,0,0,0,0,0,0.17,1.74,4.26,7.15,8.03,8.02,10.59,15.5,15.39,11.78,9.02,3.26,0,0,0,0,0,0,94.91,144.78697616
0,0,0,0,0,0,0.43,7.13,16.02,14.73,16.85,15.7,20.45,19.24,13.69,11.6,10.12,2.72,0,0,0,0,0,0,148.68,144.919586844
0,0,0,0,0,0,0.61,12.21,18.5,21.03,23.0,21.46,25.21,21.92,16.41,10.68,4.41,0.59,0,0,0,0,0,0,176.03,145.979321725
0,0,0,0,0,0,0.31,7.65,11.92,16.39,20.86,19.27,16.12,16.36,17.19,11.07,6.47,1.27,0,0,0,0,0,0,144.88,145.941874791
0,0,0,0,0,0,0.21,6.31,9.91,13.41,11.68,9.2,7.72,8.73,7.92,5.52,3.17,0.64,0,0,0,0,0,0,84.42,143.846213884
0,0,0,0,0,0,0.06,1.65,4.56,8.87,12.5,12.78,16.72,16.83,15.38,15.94,10.79,4.93,0,0,0,0,0,0,121.01,143.068328606
0,0,0,0,0,0,0.31,9.4,15.2,17.95,18.4,20.72,18.82,21.13,21.29,17.26,10.91,2.94,0,0,0,0,0,0,174.33,144.133215897
0,0,0,0,0,0,0.13,4.65,11.6,17.29,22.42,20.77,20.31,18.26,18.85,16.1,7.83,1.17,0,0,0,0,0,0,159.38,144.652577336
0,0,0,0,0,0,0.06,1.6,4.5,9.31,15.76,19.16,16.91,14.7,14.9,13.94,8.9,2.8,0,0,0,0,0,0,122.54,143.899341775
0,0,0,0,0,0,0.17,2.47,3.91,6.33,9.8,10.15,11.53,8.6,7.36,6.13,3.04,0.61,0,0,0,0,0,0,70.1,141.385465271
0,0,0,0,0,0,0.06,1.62,4.66,10.16,13.48,19.33,20.23,16.72,18.52,12.56,8.6,2.83,0,0,0,0,0,0,128.77,140.955736212
0,0,0,0,0,0,0.13,5.1,12.37,14.97,19.81,17.06,19.96,18.74,14.4,11.04,9.89,2.48,0,0,0,0,0,0,145.95,141.125859171
0,0,0,0,0,0,0.17,6.33,10.42,10.37,12.07,10.97,10.55,9.25,6.6,5.09,2.27,0.53,0,0,0,0,0,0,84.62,139.20106217
0,0,0,0,0,0,0.07,2.88,7.5,11.71,13.0,13.27,11.52,10.15,6.75,8.52,5.92,2.54,0,0,0,0,0,0,93.83,137.655557232
0,0,0,0,0,0,0.08,3.05,7.56,6.13,7.84,9.72,9.24,7.38,9.09,5.8,4.5,1.2,0,0,0,0,0,0,71.59,135.405121821
0,0,0,0,0,0,0.22,4.4,3.55,8.63,10.13,15.82,13.38,14.68,13.78,14.28,9.29,2.86,0,0,0,0,0,0,111.02,134.574475052
0,0,0,0,0,0,0.28,7.32,12.71,18.38,21.01,21.16,19.48,17.69,18.69,16.95,7.41,1.33,0,0,0,0,0,0,162.41,135.522655218
