day,demand_act,demand_d+1,demand_d+2,demand_d-1,demand_d-2,demand_t+1,demand_t+2,demand_t-1,demand_t-2,demand_td0,hour_of_day
1,153.04,22.99,189.63,157.48,157.48,132.99,160.67,157.48,157.48,157.48,1
1,151.4,26.54,186.2,132.99,132.99,160.67,154.47,157.48,157.48,132.99,2
1,154.94,22.3,136.58,160.67,160.67,154.47,126.27,132.99,157.48,160.67,3
1,152.5,26.77,142.5,154.47,154.47,126.27,158.16,160.67,132.99,154.47,4
1,148.54,63.3,155.76,126.27,126.27,158.16,163.71,154.47,160.67,126.27,5
1,148.57,48.96,155.37,158.16,158.16,163.71,146.71,126.27,154.47,158.16,6
1,147.35,23.12,133.44,163.71,163.71,146.71,134.78,158.16,126.27,163.71,7
1,146.83,27.45,120.76,146.71,146.71,134.78,197.56,163.71,158.16,146.71,8
1,146.5,28.36,133.18,134.78,134.78,197.56,182.8,146.71,163.71,134.78,9
1,188.77,27.21,141.23,197.56,197.56,182.8,136.62,134.78,146.71,197.56,10
1,159.7,23.31,119.51,182.8,182.8,136.62,145.43,197.56,134.78,182.8,11
1,154.56,29.27,109.16,136.62,136.62,145.43,143.96,182.8,197.56,136.62,12
1,156.95,28.77,235.36,145.43,145.43,143.96,88.78,136.62,182.8,145.43,13
1,129.74,24.04,191.81,143.96,143.96,88.78,114.32,145.43,136.62,143.96,14
1,77.66,30.11,111.8,88.78,88.78,114.32,87.15,143.96,145.43,88.78,15
1,114.55,98.29,60.26,114.32,114.32,87.15,98.59,88.78,143.96,114.32,16
1,83.41,84.79,187.32,87.15,87.15,98.59,76.53,114.32,88.78,87.15,17
1,97.92,140.85,176.96,98.59,98.59,76.53,42.27,87.15,114.32,98.59,18
1,87.71,132.53,161.0,76.53,76.53,42.27,24.76,98.59,87.15,76.53,19
1,43.94,103.19,177.27,42.27,42.27,24.76,24.34,76.53,98.59,42.27,20
1,24.74,168.68,77.43,24.76,24.76,24.34,28.17,42.27,76.53,24.76,21
1,26.04,90.94,24.46,24.34,24.34,28.17,30.95,24.76,42.27,24.34,22
1,26.62,32.83,26.81,28.17,28.17,30.95,22.99,24.34,24.76,28.17,23
1,27.0,44.04,31.78,30.95,30.95,22.99,26.54,28.17,24.34,30.95,24
2,26.79,189.63,105.91,157.48,157.48,26.54,22.3,30.95,28.17,22.99,1
2,26.2,186.2,129.09,132.99,132.99,22.3,26.77,22.99,30.95,26.54,2
2,25.89,136.58,132.35,160.67,160.67,26.77,63.3,26.54,22.99,22.3,3
2,27.85,142.5,144.91,154.47,154.47,63.3,48.96,22.3,26.54,26.77,4
2,62.4,155.76,148.05,126.27,126.27,48.96,23.12,26.77,22.3,63.3,5
2,42.64,155.37,133.55,158.16,158.16,23.12,27.45,63.3,26.77,48.96,6
2,26.82,133.44,125.52,163.71,163.71,27.45,28.36,48.96,63.3,23.12,7
2,24.75,120.76,159.25,146.71,146.71,28.36,27.21,23.12,48.96,27.45,8
2,27.26,133.18,131.96,134.78,134.78,27.21,23.31,27.45,23.12,28.36,9
2,25.06,141.23,149.06,197.56,197.56,23.31,29.27,28.36,27.45,27.21,10
2,26.75,119.51,136.95,182.8,182.8,29.27,28.77,27.21,28.36,23.31,11
