hour1,hour2,hour3,hour4,hour5,hour6,hour7,hour8,hour9,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23,hour24
151.246322632,131.987915039,165.909637451,150.951187134,127.183700562,150.669158936,164.681304932,151.363815308,132.156494141,193.130844116,175.828582764,132.097702026,150.258926392,146.877212524,90.5818557739,106.192298889,91.0567932129,96.1297302246,73.8861999512,44.0189476013,25.5252094269,24.9120922089,28.9782829285,30.511631012
22.4920787811,25.8690700531,21.933303833,26.0882606506,61.3583717346,49.3381156921,22.7605056763,30.0905151367,28.5013217926,26.1305732727,23.6184005737,28.976354599,28.7571640015,24.1941509247,30.9115085602,94.0084838867,90.6578903198,146.782272339,129.745056152,108.004699707,170.000320435,90.8470306396,34.9595413208,51.5408935547
186.542510986,175.706130981,131.653106689,148.369949341,151.182739258,149.954406738,130.384307861,128.189605713,131.663589478,147.99949646,123.877243042,113.047302246,230.168060303,188.262054443,106.92615509,68.861579895,186.984863281,175.324584961,166.408905029,172.672485352,75.7612228394,26.7600784302,26.9492321014,34.8432426453
104.875793457,128.038787842,131.178512573,148.348587036,148.826690674,130.362945557,126.145812988,167.830993652,131.70010376,149.771453857,127.103012085,23.5387630463,21.7682132721,21.7013568878,21.2008361816,30.2278900146,55.0594863892,123.744987488,149.368057251,127.149337769,191.307312012,133.562744141,125.69367981,94.0908203125
86.4209060669,26.7854290009,20.7947006226,19.785861969,19.6789512634,18.4537334442,16.2710113525,21.3462963104,18.460483551,42.1958656311,89.1728744507,150.722549438,215.669891357,123.695381165,89.3979797363,62.9927940369,50.1960144043,50.5090751648,53.1367645264,92.3955154419,64.5345306396,51.6282806396,29.3740348816,30.3308525085
49.2435035706,18.2497158051,19.8072242737,18.4182987213,23.1249713898,18.4377746582,18.5548038483,21.7904815674,20.2554111481,21.706609726,51.2275123596,61.3495292664,32.5431060791,190.081756592,169.32182312,228.873062134,130.112823486,153.885635376,295.552947998,153.675018311,235.582427979,295.365325928,134.005279541,105.872627258
88.5741271973,88.957359314,89.9253768921,75.25025177,89.3405151367,61.9179000854,28.0014362335,57.0527534485,143.355239868,104.620010376,68.5082321167,85.7989730835,24.0273036957,36.3431472778,120.643569946,109.75553894,131.207626343,127.080688477,171.36114502,169.705322266,229.593887329,169.642288208,54.4524612427,20.0510063171
18.2283535004,19.6688327789,17.8952674866,27.6571674347,39.6980819702,19.9532775879,74.5492782593,149.318130493,146.623138428,106.682548523,73.0477294922,51.6037750244,18.1903533936,18.3717365265,18.2792778015,36.4939117432,89.5695114136,131.111190796,132.667144775,150.9896698,193.856246948,189.370925903,78.2954711914,94.3923416138
29.7837715149,39.916179657,18.3294239044,16.7634181976,20.8452453613,18.2055053711,63.8006896973,147.395935059,149.04989624,107.756889343,99.9876022339,226.542129517,77.7996673584,36.90807724,104.568756104,89.1091079712,39.9473419189,108.838668823,206.563156128,167.200088501,191.496459961,106.769081116,54.2951164246,20.8596992493
21.2038917542,17.6893138885,19.1381168365,45.7971458435,17.1876449585,19.638425827,43.6750144958,173.03112793,149.632995605,93.3699188232,89.4344711304,74.1856155396,22.2259483337,25.5577316284,21.6852474213,32.6446113586,172.639984131,216.31942749,230.503005981,293.829528809,202.72883606,171.285491943,78.731048584,75.4930648804
30.5835723877,20.2835617065,18.0286140442,19.785861969,20.5785961151,51.1492042542,88.4175109863,174.248626709,107.086410522,87.8243713379,47.7822685242,17.2784919739,17.9487361908,18.8820171356,21.0239334106,18.1748218536,21.9470806122,34.6290473938,171.636688232,150.357711792,148.017333984,93.2447662354,91.2728881836,48.8512191772
59.958984375,20.5968723297,17.2249660492,19.0490608215,19.6901950836,14.8413667679,19.5149230957,95.6210021973,144.683303833,99.6293869019,177.104232788,231.437469482,107.725639343,104.847702026,96.9994735718,128.042556763,109.7056427,172.892227173,109.834190369,194.660125732,268.996765137,271.094726562,346.726623535,291.003356934
200.448608398,193.728713989,147.425689697,74.5872650146,72.7828826904,72.6303329468,87.8153610229,68.6754684448,89.2101974487,122.777740479,90.1670761108,53.0318489075,46.0549697876,73.8085708618,105.126953125,137.780929565,210.328231812,236.66003418,221.246627808,207.284042358,193.874649048,130.441986084,93.4837036133,89.3558120728
88.8562927246,86.9797515869,27.2068347931,17.2036037445,17.9867362976,12.9800243378,21.513584137,129.741256714,147.651046753,93.6273269653,123.404556274,77.1890411377,73.8479309082,39.6383857727,87.0264205933,90.1437911987,106.867424011,123.77355957,131.491256714,176.401229858,173.697235107,94.3005981445,128.450256348,148.517074585
