actual,curr_pred,exp_ma,hour,slope1,slope2,t1,t2,t3,t4,t5,t6,t7
0,0,177.846295297,0,0,0,0,0,0,0,0,0,0
0,0,177.846295297,1,0,0,0,0,0,0,0,0,0
0,0,177.846295297,2,0,0,0,0,0,0,0,0,0
0,0,177.846295297,3,0,0,0,0,0,0,0,0,0
0,0,177.846295297,4,0,0,0,0,0,0,0,0,0
0,0,177.846295297,5,0,0,0,0,0,0,0,0,0
0,0,177.846295297,6,0,6.1,0,0,0,0,0,0,0
6.37,6.1,177.846295297,7,6.1,8.66,6.48,1.34,4.91,5.96,6.36,6.73,6.03
17.22,14.76,177.846295297,8,8.66,8.89,18.03,5.89,12.33,18.18,16.78,13.99,14.88
21.41,23.65,177.846295297,9,8.89,-3.38,18.76,8.96,17.79,21.19,22.34,22.21,19.01
19.21,20.27,177.846295297,10,-3.38,-6.34,25.16,10.56,21.77,24.42,20.18,25.34,20.75
14.08,13.93,177.846295297,11,-6.34,3.06,23.28,11.54,22.4,20.28,21.17,23.6,23.34
17.43,16.99,177.846295297,12,3.06,-0.03,28.3,13.82,22.68,20.32,20.13,26.92,26.01
18.82,16.96,177.846295297,13,-0.03,0.27,25.78,16.36,21.02,24.17,18.64,25.63,20.52
19.32,17.23,177.846295297,14,0.27,2.47,26.98,15.38,15.15,19.75,14.32,22.49,23.79
17.33,19.7,177.846295297,15,2.47,-9.39,22.89,10.42,11.35,18.38,16.7,15.38,17.13
10.21,10.31,177.846295297,16,-9.39,-10.14,14.5,7.02,7.3,9.82,10.19,8.95,9.34
0.2,0.17,177.846295297,17,-10.14,-0.17,0.2,0.12,0.13,0.19,0.19,0.14,0.11
0,0,177.846295297,18,-0.17,0,0,0,0,0,0,0,0
0,0,177.846295297,19,0,0,0,0,0,0,0,0,0
0,0,177.846295297,20,0,0,0,0,0,0,0,0,0
0,0,177.846295297,21,0,0,0,0,0,0,0,0,0
0,0,177.846295297,22,0,0,0,0,0,0,0,0,0
0,0,177.846295297,23,0,0,0,0,0,0,0,0,0
0,0,177.772503326,0,0,0,0,0,0,0,0,0,0
0,0,177.772503326,1,0,0,0,0,0,0,0,0,0
0,0,177.772503326,2,0,0,0,0,0,0,0,0,0
0,0,177.772503326,3,0,0,0,0,0,0,0,0,0
0,0,177.772503326,4,0,0,0,0,0,0,0,0,0
0,0,177.772503326,5,0,0,0,0,0,0,0,0,0
0,0,177.772503326,6,0,6.37,0,0,0,0,0,0,0
6.13,6.37,177.772503326,7,6.37,10.58,6.1,6.48,1.34,4.91,5.96,6.36,6.73
16.47,16.95,177.772503326,8,10.58,5.99,14.76,18.03,5.89,12.33,18.18,16.78,13.99
21.06,22.94,177.772503326,9,5.99,-3.6,23.65,18.76,8.96,17.79,21.19,22.34,22.21
22.03,19.34,177.772503326,10,-3.6,2.93,20.27,25.16,10.56,21.77,24.42,20.18,25.34
21.77,22.27,177.772503326,11,2.93,0,13.93,23.28,11.54,22.4,20.28,21.17,23.6
21.99,22.27,177.772503326,12,0,-4,16.99,28.3,13.82,22.68,20.32,20.13,26.92
21.46,18.27,177.772503326,13,-4,1.36,16.96,25.78,16.36,21.02,24.17,18.64,25.63
19.78,19.63,177.772503326,14,1.36,-3.62,17.23,26.98,15.38,15.15,19.75,14.32,22.49
18.06,16.01,177.772503326,15,-3.62,-4.67,19.7,22.89,10.42,11.35,18.38,16.7,15.38
12.13,11.34,177.772503326,16,-4.67,-11.05,10.31,14.5,7.02,7.3,9.82,10.19,8.95
0.27,0.29,177.772503326,17,-11.05,-0.29,0.17,0.2,0.12,0.13,0.19,0.19,0.14
0,0,177.772503326,18,-0.29,0,0,0,0,0,0,0,0
0,0,177.772503326,19,0,0,0,0,0,0,0,0,0
0,0,177.772503326,20,0,0,0,0,0,0,0,0,0
0,0,177.772503326,21,0,0,0,0,0,0,0,0,0
0,0,177.772503326,22,0,0,0,0,0,0,0,0,0
0,0,177.772503326,23,0,0,0,0,0,0,0,0,0
0,0,178.285757577,0,0,0,0,0,0,0,0,0,0
0,0,178.285757577,1,0,0,0,0,0,0,0,0,0
0,0,178.285757577,2,0,0,0,0,0,0,0,0,0
0,0,178.285757577,3,0,0,0,0,0,0,0,0,0
0,0,178.285757577,4,0,0,0,0,0,0,0,0,0
0,0,178.285757577,5,0,0,0,0,0,0,0,0,0
0,0,178.285757577,6,0,5.41,0,0,0,0,0,0,0
6.34,5.41,178.285757577,7,5.41,11.48,6.37,6.1,6.48,1.34,4.91,5.96,6.36
16.96,16.89,178.285757577,8,11.48,3.97,16.95,14.76,18.03,5.89,12.33,18.18,16.78
22.02,20.86,178.285757577,9,3.97,-0.15,22.94,23.65,18.76,8.96,17.79,21.19,22.34
23.2,20.71,178.285757577,10,-0.15,4.89,19.34,20.27,25.16,10.56,21.77,24.42,20.18
22.62,25.6,178.285757577,11,4.89,-0.93,22.27,13.93,23.28,11.54,22.4,20.28,21.17
23.66,24.67,178.285757577,12,-0.93,-1.93,22.27,16.99,28.3,13.82,22.68,20.32,20.13
23.97,22.74,178.285757577,13,-1.93,0.25,18.27,16.96,25.78,16.36,21.02,24.17,18.64
23.1,22.99,178.285757577,14,0.25,-2.42,19.63,17.23,26.98,15.38,15.15,19.75,14.32
20.55,20.57,178.285757577,15,-2.42,-8.46,16.01,19.7,22.89,10.42,11.35,18.38,16.7
13.3,12.11,178.285757577,16,-8.46,-11.82,11.34,10.31,14.5,7.02,7.3,9.82,10.19
0.31,0.29,178.285757577,17,-11.82,-0.29,0.29,0.17,0.2,0.12,0.13,0.19,0.19
0,0,178.285757577,18,-0.29,0,0,0,0,0,0,0,0
0,0,178.285757577,19,0,0,0,0,0,0,0,0,0
0,0,178.285757577,20,0,0,0,0,0,0,0,0,0
0,0,178.285757577,21,0,0,0,0,0,0,0,0,0
0,0,178.285757577,22,0,0,0,0,0,0,0,0,0
0,0,178.285757577,23,0,0,0,0,0,0,0,0,0
0,0,178.939583937,0,0,0,0,0,0,0,0,0,0
0,0,178.939583937,1,0,0,0,0,0,0,0,0,0
0,0,178.939583937,2,0,0,0,0,0,0,0,0,0
0,0,178.939583937,3,0,0,0,0,0,0,0,0,0
0,0,178.939583937,4,0,0,0,0,0,0,0,0,0
0,0,178.939583937,5,0,0,0,0,0,0,0,0,0
0,0,178.939583937,6,0,6,0,0,0,0,0,0,0
6.26,6,178.939583937,7,6,12.38,5.41,6.37,6.1,6.48,1.34,4.91,5.96
16.94,18.38,178.939583937,8,12.38,2.94,16.89,16.95,14.76,18.03,5.89,12.33,18.18
22.04,21.32,178.939583937,9,2.94,0.9,20.86,22.94,23.65,18.76,8.96,17.79,21.19
23.07,22.22,178.939583937,10,0.9,2.35,20.71,19.34,20.27,25.16,10.56,21.77,24.42
22.05,24.57,178.939583937,11,2.35,-1.19,25.6,22.27,13.93,23.28,11.54,22.4,20.28
