hour1,hour2,hour3,hour4,hour5,hour6,hour7,hour8,hour9,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23,hour24,row_sum,exp_ma
0,0,0,0,0,0,0.0,6.03,14.88,19.01,20.75,23.34,26.01,20.52,23.79,17.13,9.34,0.11,0,0,0,0,0,0,180.91,180.91
0,0,0,0,0,0,0.0,6.73,13.99,22.21,25.34,23.6,26.92,25.63,22.49,15.38,8.95,0.14,0,0,0,0,0,0,191.38,181.266646636
0,0,0,0,0,0,0.0,6.36,16.78,22.34,20.18,21.17,20.13,18.64,14.32,16.7,10.19,0.19,0,0,0,0,0,0,167.0,180.780672278
0,0,0,0,0,0,0.0,5.96,18.18,21.19,24.42,20.28,20.32,24.17,19.75,18.38,9.82,0.19,0,0,0,0,0,0,182.66,180.844689079
0,0,0,0,0,0,0.0,4.91,12.33,17.79,21.77,22.4,22.68,21.02,15.15,11.35,7.3,0.13,0,0,0,0,0,0,156.83,180.026660609
0,0,0,0,0,0,0.0,1.34,5.89,8.96,10.56,11.54,13.82,16.36,15.38,10.42,7.02,0.12,0,0,0,0,0,0,101.41,177.348688541
0,0,0,0,0,0,0.0,6.48,18.03,18.76,25.16,23.28,28.3,25.78,26.98,22.89,14.5,0.2,0,0,0,0,0,0,210.36,178.473174997
0,0,0,0,0,0,0.0,6.1,14.76,23.65,20.27,13.93,16.99,16.96,17.23,19.7,10.31,0.17,0,0,0,0,0,0,160.07,177.846295297
0,0,0,0,0,0,0.0,6.37,16.95,22.94,19.34,22.27,22.27,18.27,19.63,16.01,11.34,0.29,0,0,0,0,0,0,175.68,177.772503326
0,0,0,0,0,0,0.0,5.41,16.89,20.86,20.71,25.6,24.67,22.74,22.99,20.57,12.11,0.29,0,0,0,0,0,0,192.84,178.285757577
0,0,0,0,0,0,0.0,6.0,18.38,21.32,22.22,24.57,23.38,21.42,25.26,22.71,11.82,0.4,0,0,0,0,0,0,197.48,178.939583937
0,0,0,0,0,0,0.0,5.66,19.07,20.09,25.21,22.1,26.27,27.17,21.21,21.65,14.72,0.44,0,0,0,0,0,0,203.59,179.779267602
0,0,0,0,0,0,0.0,2.78,12.12,17.2,21.13,23.48,24.34,22.42,21.66,20.08,8.3,0.2,0,0,0,0,0,0,173.71,179.572526067
0,0,0,0,0,0,0.0,0.58,2.83,5.48,6.5,7.77,8.82,12.54,12.54,9.6,3.89,0.15,0,0,0,0,0,0,70.7,175.86392815
0,0,0,0,0,0,0.0,6.42,17.25,20.09,26.19,20.2,22.55,21.97,21.69,21.29,14.35,0.62,0,0,0,0,0,0,192.62,176.43470147
0,0,0,0,0,0,0.0,6.23,16.24,20.35,22.25,22.65,27.84,26.93,25.23,20.96,12.3,0.5,0,0,0,0,0,0,201.48,177.287836281
0,0,0,0,0,0,0.0,6.05,16.26,22.21,23.17,19.42,24.53,24.51,19.62,17.88,14.13,0.68,0,0,0,0,0,0,188.46,177.668401191
0,0,0,0,0,0,0.0,5.05,14.64,19.96,24.2,23.46,22.5,26.5,24.71,21.84,12.57,0.56,0,0,0,0,0,0,195.99,178.292502106
0,0,0,0,0,0,0.0,6.91,18.92,20.06,25.65,22.98,20.59,21.28,22.59,24.48,12.33,1.07,0,0,0,0,0,0,196.86,178.924979247
0,0,0,0,0,0,0.0,6.36,16.84,20.3,21.28,23.46,22.47,23.89,21.83,18.73,12.71,0.75,0,0,0,0,0,0,188.62,179.255227245
0,0,0,0,0,0,0.0,0.79,3.04,5.1,7.91,7.15,9.89,12.57,12.71,8.79,5.23,0.25,0,0,0,0,0,0,73.43,175.650431513
0,0,0,0,0,0,0.0,5.31,12.14,14.51,17.47,22.76,17.64,20.99,14.79,11.78,4.9,0.26,0,0,0,0,0,0,142.55,174.522909301
0,0,0,0,0,0,0.0,1.62,5.68,10.43,14.83,20.79,17.16,16.38,13.84,13.57,8.25,0.69,0,0,0,0,0,0,123.24,172.776025147
0,0,0,0,0,0,0.0,4.65,11.98,19.91,19.13,21.27,20.25,19.5,15.94,9.95,3.25,0.11,0,0,0,0,0,0,145.94,171.861891614
0,0,0,0,0,0,0.0,5.08,13.25,19.42,19.88,19.38,18.93,17.21,13.81,12.55,8.35,0.71,0,0,0,0,0,0,148.57,171.068484279
0,0,0,0,0,0,0.0,5.27,14.02,21.53,22.84,28.6,23.51,27.79,22.23,18.25,14.14,1.38,0,0,0,0,0,0,199.56,172.039009899
0,0,0,0,0,0,0.0,6.64,15.76,21.47,28.05,27.87,26.97,28.55,22.39,19.58,13.8,2.07,0,0,0,0,0,0,213.15,173.439401143
0,0,0,0,0,0,0.0,7.02,19.41,26.61,23.33,21.98,21.97,22.69,22.38,24.22,14.26,2.24,0,0,0,0,0,0,206.11,174.552281677
0,0,0,0,0,0,0.0,6.2,19.2,23.52,22.97,20.5,24.11,25.64,23.75,21.98,15.5,2.0,0,0,0,0,0,0,205.37,175.602046297
0,0,0,0,0,0,0.0,6.8,16.83,22.69,25.24,26.49,24.67,27.4,23.59,21.92,15.75,3.5,0,0,0,0,0,0,214.88,176.939997592
0,0,0,0,0,0,0.0,5.8,16.31,21.7,23.8,26.54,28.61,27.73,21.81,19.29,14.89,3.83,0,0,0,0,0,0,210.31,178.076702378
0,0,0,0,0,0,0.0,5.56,18.49,19.78,24.48,16.21,22.94,20.7,22.6,24.91,15.84,2.36,0,0,0,0,0,0,193.87,178.614680074
0,0,0,0,0,0,0.0,5.32,15.61,18.47,21.95,19.57,23.78,19.82,21.02,21.37,13.72,1.32,0,0,0,0,0,0,181.95,178.728293314
0,0,0,0,0,0,0.0,3.04,10.83,16.5,22.79,27.33,27.29,26.23,23.93,22.36,15.46,3.04,0,0,0,0,0,0,198.8,179.412009329
0,0,0,0,0,0,0.0,5.4,14.22,22.05,20.89,19.44,22.82,23.63,22.88,20.46,17.49,3.74,0,0,0,0,0,0,193.02,179.875547447
0,0,0,0,0,0,0.0,5.29,15.81,23.52,25.89,21.37,26.36,24.99,25.8,18.29,15.33,4.03,0,0,0,0,0,0,206.68,180.788605502
0,0,0,0,0,0,0.0,6.58,20.0,19.46,21.33,25.55,23.54,21.7,23.22,23.06,17.22,3.64,0,0,0,0,0,0,205.3,181.623553582
0,0,0,0,0,0,0.0,5.49,17.51,21.7,25.33,25.16,19.82,18.89,16.54,11.81,7.47,0.48,0,0,0,0,0,0,170.2,181.23442541
0,0,0,0,0,0,0.0,4.18,13.22,19.22,22.1,23.71,26.22,24.96,25.83,22.75,14.57,3.5,0,0,0,0,0,0,200.26,181.882506325
0,0,0,0,0,0,0.0,5.84,14.9,23.03,21.34,17.37,18.72,19.65,18.93,15.24,9.07,0.5,0,0,0,0,0,0,164.59,181.293460078
0,0,0,0,0,0,0.0,6.68,17.65,24.1,27.01,21.93,23.98,25.89,17.99,15.58,11.82,2.39,0,0,0,0,0,0,195.02,181.761036418
0,0,0,0,0,0,0.0,5.2,15.46,18.64,20.87,18.85,19.26,24.81,21.47,17.7,12.68,3.12,0,0,0,0,0,0,178.06,181.634965531
0,0,0,0,0,0,0.0,5.95,15.57,16.2,19.79,21.9,22.17,22.25,22.01,17.65,17.0,3.57,0,0,0,0,0,0,184.06,181.717571108
0,0,0,0,0,0,0.0,6.59,15.84,22.45,24.77,23.63,25.62,24.8,24.05,18.85,14.5,4.8,0,0,0,0,0,0,205.9,182.541313411
0,0,0,0,0,0,0.0,6.78,15.69,18.66,19.42,21.15,17.13,18.77,17.0,14.36,11.02,2.17,0,0,0,0,0,0,162.15,181.846710419
0,0,0,0,0,0,0.0,6.94,18.32,24.26,25.56,26.71,23.08,25.49,24.68,24.12,19.04,4.48,0,0,0,0,0,0,222.68,183.237642164
0,0,0,0,0,0,0.0,7.72,20.14,20.8,27.82,28.27,26.42,23.11,25.04,25.13,18.05,3.78,0,0,0,0,0,0,226.28,184.703822883
0,0,0,0,0,0,0.0,5.65,19.43,20.64,25.99,23.95,24.3,28.71,25.47,23.4,18.17,5.13,0,0,0,0,0,0,220.84,185.934753735
0,0,0,0,0,0,0.0,6.3,18.87,21.69,24.85,26.43,23.05,25.19,24.84,19.24,18.23,5.29,0,0,0,0,0,0,213.98,186.890077779
