actual,pred,oracle
15.67,15.5546684265,15.55
20.42,19.4929199219,17.66
0.0,-0.00135105161462,0.0
11.99,11.9523658752,12.64
16.83,17.9373340607,18.32
0.0,-0.0012977400329,0.0
17.12,16.531162262,16.67
22.15,20.3149967194,21.55
18.96,20.8736209869,20.53
0.0,-0.00423959875479,0.0
13.72,14.620552063,13.84
21.5,21.9741077423,20.06
0.0,-0.00325292907655,0.0
0.0,0.000197828951059,0.0
0.11,0.126842141151,0.11
0.0,-0.00704716751352,0.0
18.51,18.2463970184,18.09
0.0,-0.00704716751352,0.0
0.0,-0.00036438042298,0.0
23.79,22.9399604797,23.98
0.0,-0.00803384184837,0.0
0.0,-0.00036438042298,0.0
0.0,0.00928742624819,0.0
19.75,19.5221118927,18.16
13.66,13.3813753128,14.11
0.0,-0.000311068841256,0.0
12.35,13.3239889145,13.45
14.65,14.9925222397,15.66
22.6,20.2135009766,19.5
0.0,0.0297818500549,0.0
19.78,18.9202632904,17.86
1.74,1.74188089371,1.59
11.72,10.7774209976,10.5
0.0,-0.00325292907655,0.0
0.0,-0.00036438042298,0.0
0.0,0.00511308573186,0.0
19.94,17.2148704529,17.12
5.31,5.20545196533,4.87
9.15,9.31136989594,9.57
0.0,-0.00704716751352,0.0
0.0,-0.00135105161462,0.0
0.0,-0.00036438042298,0.0
0.0,-0.00036438042298,0.0
0.0,-0.000311068841256,0.0
10.77,10.3938426971,10.45
0.0,-0.00036438042298,0.0
19.96,20.2886123657,22.26
0.0,0.00609975680709,0.0
0.0,0.0422452352941,0.0
17.82,16.7601222992,15.18
0.0,-0.00803384184837,0.0
8.38,7.39445495605,7.32
0.0,-0.00704716751352,0.0
0.0,-0.00704716751352,0.0
0.02,0.0525103062391,0.02
3.87,4.03680801392,3.96
0.0,-0.00036438042298,0.0
20.5,21.0187168121,23.08
0.0,0.0281311906874,0.0
5.81,5.2388048172,4.97
0.0,0.000842840352561,0.0
0.0,-0.00704716751352,0.0
0.0,-0.00135105161462,0.0
0.0,-0.00803384184837,0.0
0.0,-0.000311068841256,0.0
23.14,23.013174057,25.32
20.69,20.3472080231,19.88
0.0,-0.0012977400329,0.0
10.55,9.8319978714,10.49
0.0,-0.00704716751352,0.0
0.0,-0.00704716751352,0.0
6.16,6.23872327805,6.31
0.0,-0.00036438042298,0.0
0.0,-0.0012977400329,0.0
0.0,-0.0012977400329,0.0
24.21,23.4537563324,22.54
0.0,-0.00036438042298,0.0
21.72,21.7170829773,24.22
22.04,22.9384689331,23.87
0.0,0.0413451641798,0.0
0.0,0.000197828951059,0.0
17.72,15.6399669647,15.42
0.0,-0.00423959875479,0.0
19.52,19.4655208588,17.71
1.89,1.79951190948,1.62
18.31,18.0993232727,20.99
8.65,8.18873214722,7.74
0.0,-0.00036438042298,0.0
0.0,-0.000311068841256,0.0
0.0,-0.00803384184837,0.0
7.57,7.16019392014,7.03
0.0,-0.00423959875479,0.0
21.11,21.3949546814,19.95
0.62,0.718162953854,0.7
0.0,-0.00036438042298,0.0
19.58,18.8543300629,21.07
22.82,23.3029174805,25.94
0.0,-0.0012977400329,0.0
0.0,-0.00135105161462,0.0
0.0,0.00118449970614,0.0
4.96,5.63524198532,5.25
0.0,0.00165892043151,0.0
0.0,-0.00704716751352,0.0
2.71,3.05322170258,2.92
0.0,-0.0012977400329,0.0
0.0,-0.0012977400329,0.0
19.17,18.2314529419,18.03
17.44,17.6307697296,15.14
9.06,10.2357301712,10.35
22.6,21.694234848,22.59
16.61,16.5299911499,18.26
11.6,10.4554023743,10.65
0.0,0.00182951171882,0.0
0.0,0.000672249880154,0.0
0.0,0.022715780884,0.0
0.0,0.030295882374,0.0
23.4,23.0804672241,22.48
0.0,-0.000311068841256,0.0
0.0,-0.00135105161462,0.0
5.31,5.81955003738,5.76
17.94,17.0085945129,15.82
10.56,10.5303659439,11.46
0.11,0.183991536498,0.12
0.0,-0.00423959875479,0.0
0.0,0.0204633828253,0.0
0.86,0.813709080219,0.82
0.0,-0.00704716751352,0.0
20.55,19.6507759094,20.57
19.58,19.5144672394,20.09
17.72,17.158618927,16.66
1.38,1.21575164795,1.25
0.0,-0.0012977400329,0.0
0.0,0.00609975680709,0.0
0.0,-0.00704716751352,0.0
0.41,0.424177050591,0.36
19.46,20.2309417725,19.22
0.27,0.290736347437,0.29
17.38,15.5595273972,15.33
6.5,6.05131149292,5.95
0.0,-0.00036438042298,0.0
2.46,2.42022275925,2.27
0.0,-0.00704716751352,0.0
4.46,5.13262939453,4.9
25.21,23.5107383728,21.76
3.76,4.03127717972,4.06
22.59,22.7685852051,25.3
13.3,12.8843812943,11.83
18.74,18.5450630188,18.23
0.0,0.0339504852891,0.0
23.13,19.392791748,20.61
0.02,0.0541921779513,0.02
0.0,-0.00036438042298,0.0
0.0,-0.0012977400329,0.0
18.54,20.4772148132,18.76
20.99,21.2626152039,19.86
5.42,5.34600877762,5.18
0.0,-0.0012977400329,0.0
0.0,-0.00704716751352,0.0
