0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
159.0,157.0,159.0,157.0,152.0,147.0,144.0,138.0,126.0,164.0,134.0,132.0,134.0,111.0,59.0,101.0,71.0,94.0,84.0,45.0,24.0,26.0,27.0,28.0
31.0,30.0,30.0,32.0,67.0,46.0,27.0,16.0,8.0,2.0,0.0,1.0,1.0,3.0,6.0,67.0,77.0,127.0,115.0,88.0,154.0,80.0,33.0,48.0
207.0,178.0,147.0,146.0,146.0,141.0,138.0,130.0,124.0,136.0,91.0,100.0,225.0,191.0,105.0,41.0,188.0,164.0,154.0,170.0,89.0,30.0,29.0,36.0
123.0,147.0,148.0,149.0,144.0,144.0,139.0,132.0,118.0,116.0,134.0,2.0,4.0,0.0,1.0,7.0,37.0,133.0,144.0,123.0,178.0,161.0,143.0,108.0
91.0,30.0,24.0,23.0,22.0,25.0,14.0,12.0,1.0,17.0,69.0,134.0,218.0,98.0,83.0,56.0,44.0,54.0,51.0,115.0,57.0,61.0,34.0,35.0
58.0,22.0,22.0,22.0,26.0,17.0,17.0,15.0,10.0,10.0,49.0,48.0,16.0,183.0,137.0,212.0,128.0,145.0,311.0,174.0,212.0,284.0,129.0,92.0
86.0,85.0,87.0,86.0,86.0,67.0,25.0,51.0,109.0,75.0,52.0,45.0,0.0,14.0,86.0,89.0,113.0,112.0,171.0,167.0,205.0,150.0,63.0,24.0
20.0,23.0,21.0,29.0,44.0,17.0,66.0,134.0,108.0,89.0,59.0,40.0,0.0,0.0,0.0,14.0,76.0,125.0,139.0,135.0,191.0,197.0,78.0,102.0
35.0,44.0,24.0,20.0,25.0,17.0,53.0,134.0,160.0,96.0,63.0,218.0,62.0,9.0,79.0,59.0,29.0,106.0,198.0,190.0,175.0,102.0,51.0,27.0
21.0,20.0,22.0,58.0,20.0,22.0,44.0,153.0,130.0,58.0,57.0,43.0,0.0,0.0,0.0,9.0,140.0,194.0,229.0,284.0,222.0,172.0,86.0,80.0
40.0,23.0,22.0,23.0,22.0,46.0,84.0,161.0,99.0,55.0,28.0,0.0,0.0,0.0,0.0,0.0,3.0,33.0,150.0,131.0,136.0,89.0,87.0,52.0
57.0,23.0,20.0,22.0,17.0,16.0,18.0,98.0,139.0,77.0,165.0,187.0,90.0,75.0,74.0,103.0,108.0,164.0,111.0,189.0,271.0,299.0,350.0,308.0
205.0,179.0,177.0,71.0,72.0,72.0,91.0,64.0,66.0,114.0,81.0,35.0,16.0,54.0,84.0,112.0,197.0,251.0,213.0,197.0,192.0,127.0,88.0,86.0
86.0,84.0,32.0,22.0,21.0,16.0,19.0,114.0,151.0,87.0,102.0,70.0,57.0,24.0,77.0,89.0,85.0,106.0,134.0,178.0,164.0,99.0,110.0,153.0
28.0,22.0,22.0,22.0,51.0,26.0,40.0,143.0,46.0,28.0,0.0,16.0,92.0,32.0,92.0,32.0,85.0,171.0,186.0,118.0,84.0,84.0,57.0,0.0
